Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
25,7,1,0,16,17,10,6,6,9,0,0,2,1,0,1,19,7,9,4
0,7,1,0,0,4,15,19,6,9,1,0,1,1,0,0,22,10,10,0
22,7,2,0,3,23,15,10,6,9,0,0,0,1,0,0,18,5,10,2
7,7,3,0,15,0,11,11,6,9,0,0,2,1,1,0,5,3,4,4
22,7,3,0,16,17,10,6,6,9,0,0,2,1,0,1,19,7,9,2
22,7,4,0,3,23,15,10,6,9,0,0,0,1,0,0,18,5,10,2
21,7,4,0,20,24,1,1,6,9,0,0,1,1,0,3,13,7,6,7
22,7,4,0,13,22,8,8,6,9,0,0,4,1,0,0,3,3,3,4
19,7,0,0,1,3,11,7,6,9,0,0,2,1,0,0,21,13,5,11
21,7,0,0,10,2,11,9,6,9,0,2,1,0,0,1,17,7,8,7
1,7,0,0,13,22,8,8,6,9,0,0,4,1,0,0,3,3,3,7
1,7,1,0,13,22,8,8,6,9,0,0,4,1,0,0,3,3,3,7
11,7,2,0,13,22,8,8,6,9,0,0,4,1,0,0,3,3,3,7
11,7,2,0,3,23,15,10,6,9,0,0,0,1,0,0,18,5,10,1
22,7,2,0,3,23,15,10,6,9,0,0,0,1,0,0,18,5,10,4
14,7,4,0,11,11,13,13,6,9,0,0,0,1,0,0,4,5,3,7
22,7,4,0,3,23,15,10,6,9,0,0,0,1,0,0,18,5,10,2
20,7,0,0,3,23,15,10,6,9,0,0,0,1,0,0,18,5,10,7
11,7,3,0,5,14,10,6,6,9,0,0,2,0,0,2,6,2,5,7
22,8,2,0,12,11,11,16,0,4,0,0,2,0,0,1,16,1,11,2
10,8,2,0,19,7,2,1,0,4,0,1,0,0,0,0,15,11,5,7
11,8,0,0,3,23,15,10,0,4,0,0,0,1,0,0,18,5,10,1
13,8,0,0,20,24,1,1,0,4,0,0,1,1,0,3,13,7,6,11
27,8,4,0,13,22,8,8,0,4,0,0,4,1,0,0,3,3,3,4
18,8,0,0,16,17,10,6,0,4,0,0,2,1,0,1,19,7,9,7
24,8,0,0,20,24,1,1,0,4,0,0,1,1,0,3,13,7,6,6
22,8,1,0,16,17,10,6,0,4,0,0,2,1,0,1,19,7,9,1
27,8,2,0,2,13,3,2,0,4,0,0,0,1,1,0,9,12,2,4
18,8,2,0,16,17,10,6,0,4,0,0,2,1,0,1,19,7,9,7
22,8,4,0,3,23,15,10,0,4,0,0,0,1,0,0,18,5,10,2
18,8,0,0,3,23,15,10,0,4,0,0,0,1,0,0,18,5,10,7
18,8,3,0,10,14,9,17,0,4,0,0,1,0,1,4,17,0,12,7
22,8,3,0,10,2,11,9,0,4,0,2,1,0,0,1,17,7,8,4
18,8,0,0,10,14,9,17,0,4,0,0,1,0,1,4,17,0,12,7
22,8,0,0,3,23,15,10,0,4,0,0,0,1,0,0,18,5,10,2
22,8,0,0,20,24,1,1,0,4,0,0,1,1,0,3,13,7,6,1
23,8,1,0,16,17,10,6,0,4,0,0,2,1,0,1,19,7,9,7
11,8,3,0,17,22,9,5,0,4,0,0,0,1,0,0,3,4,3,4
27,8,4,0,10,14,9,17,0,4,0,0,1,0,1,4,17,0,12,7
22,8,4,0,13,22,8,8,0,4,0,0,4,1,0,0,3,3,3,4
22,9,1,0,4,18,4,0,7,4,0,0,0,0,0,0,1,2,1,2
22,9,0,0,0,1,7,9,7,4,0,0,0,0,0,0,14,7,7,4
22,9,1,0,3,23,15,10,7,4,0,0,0,1,0,0,18,5,10,4
19,9,1,0,10,9,10,14,7,4,0,0,1,1,0,0,24,2,16,7
22,9,2,0,1,3,11,7,7,4,0,0,2,1,0,0,21,13,5,2
22,9,0,0,0,1,7,9,7,4,0,0,0,0,0,0,14,7,7,3
22,9,1,0,3,23,15,10,7,4,0,0,0,1,0,0,18,5,10,3
22,9,3,0,17,15,9,12,7,4,0,0,1,1,0,1,8,6,5,4
21,9,4,0,13,22,8,8,7,4,0,0,4,1,0,0,3,3,3,7
14,9,0,3,17,15,9,12,7,4,0,0,1,1,0,1,8,6,5,10
0,9,0,3,13,22,8,8,7,4,1,0,4,1,0,0,3,3,3,0
0,9,0,3,6,12,6,1,7,4,1,0,1,0,0,2,6,4,4,0
22,9,1,3,6,12,6,1,7,4,0,0,1,0,0,2,6,4,4,2
22,9,1,3,0,1,7,9,7,4,0,0,0,0,0,0,14,7,7,2
0,9,1,3,16,17,10,6,7,4,1,0,2,1,0,1,19,7,9,0
0,9,1,3,0,4,15,19,7,4,1,0,1,1,0,0,22,10,10,0
18,9,2,3,6,12,6,1,7,4,0,0,1,0,0,2,6,4,4,3
22,9,2,3,3,23,15,10,7,4,0,0,0,1,0,0,18,5,10,3
0,9,2,3,21,8,9,4,7,4,1,0,3,1,0,0,7,4,5,0
22,9,4,3,12,11,11,16,7,4,0,0,2,0,0,1,16,1,11,1
22,9,4,3,3,23,15,10,7,4,0,0,0,1,0,0,18,5,10,3
22,9,4,3,13,22,8,8,7,4,0,0,4,1,0,0,3,3,3,4
22,10,1,3,3,23,15,10,13,5,0,0,0,1,0,0,18,5,10,3
22,10,1,3,0,1,7,9,13,5,0,0,0,0,0,0,14,7,7,3
0,10,2,3,0,4,15,19,13,5,1,0,1,1,0,0,22,10,10,0
22,10,3,3,3,12,6,3,13,5,0,2,0,0,0,0,0,6,0,1
22,10,4,3,3,23,15,10,13,5,0,0,0,1,0,0,18,5,10,3
22,10,4,3,6,12,6,1,13,5,0,0,1,0,0,2,6,4,4,3
22,10,1,3,0,1,7,9,13,5,0,0,0,0,0,0,14,7,7,3
22,10,2,3,6,12,6,1,13,5,0,0,1,0,0,2,6,4,4,2
22,10,2,3,12,11,11,16,13,5,0,0,2,0,0,1,16,1,11,2
22,10,3,3,17,15,9,12,13,5,0,0,1,1,0,1,8,6,5,5
22,10,2,3,3,23,15,10,13,5,0,0,0,1,0,0,18,5,10,7
22,10,2,3,6,12,6,1,13,5,0,0,1,0,0,2,6,4,4,3
19,10,3,3,13,22,8,8,13,5,0,0,4,1,0,0,3,3,3,8
14,10,1,3,17,15,9,12,13,5,0,0,1,1,0,1,8,6,5,7
27,10,1,3,6,12,6,1,13,5,0,0,1,0,0,2,6,4,4,2
25,10,2,3,16,17,10,6,13,5,0,0,2,1,0,1,19,7,9,7
22,10,4,3,20,24,1,1,13,5,0,0,1,1,0,3,13,7,6,1
27,10,4,3,13,22,8,8,13,5,0,0,4,1,0,0,3,3,3,3
22,11,3,3,3,23,15,10,30,5,0,0,0,1,0,0,18,5,10,1
22,11,2,3,6,12,6,1,30,5,0,0,1,0,0,2,6,4,4,1
13,11,3,3,3,23,15,10,30,5,0,0,0,1,0,0,18,5,10,7
20,11,3,3,3,10,14,12,30,5,0,1,2,0,1,0,2,5,2,7
22,11,3,3,17,15,9,12,30,5,0,0,1,1,0,1,8,6,5,5
10,11,0,3,1,3,11,7,30,5,0,0,2,1,0,0,21,13,5,10
21,11,0,3,5,14,10,6,30,5,0,0,2,0,0,2,6,2,5,7
14,11,0,3,17,15,9,12,30,5,0,0,1,1,0,1,8,6,5,11
22,11,2,3,6,12,6,1,30,5,0,0,1,0,0,2,6,4,4,1
6,11,4,3,1,3,11,7,30,5,0,0,2,1,0,0,21,13,5,7
22,11,2,3,6,12,6,1,30,5,0,0,1,0,0,2,6,4,4,3
20,11,2,3,3,10,14,12,30,5,0,1,2,0,1,0,2,5,2,7
13,11,4,3,6,12,6,1,30,5,0,0,1,0,0,2,6,4,4,3
27,11,4,3,13,22,8,8,30,5,0,0,4,1,0,0,3,3,3,4
27,11,0,3,12,11,11,16,30,5,0,0,2,0,0,1,16,1,11,1
27,11,1,3,6,12,6,1,30,5,0,0,1,0,0,2,6,4,4,3
7,11,2,3,16,17,10,6,30,5,0,0,2,1,0,1,19,7,9,9
22,11,3,3,17,15,9,12,30,5,0,0,1,1,0,1,8,6,5,3
22,12,1,3,12,11,11,16,15,9,0,0,2,0,0,1,16,1,11,1
19,12,1,3,0,1,7,9,15,9,0,0,0,0,0,0,14,7,7,14
22,12,2,3,0,4,15,19,15,9,0,0,1,1,0,0,22,10,10,2
25,12,2,3,10,2,11,9,15,9,0,2,1,0,0,1,17,7,8,7
22,12,3,3,6,12,6,1,15,9,0,0,1,0,0,2,6,4,4,2
25,12,4,3,13,22,8,8,15,9,0,0,4,1,0,0,3,3,3,7
19,12,1,3,0,1,7,9,15,9,0,0,0,0,0,0,14,7,7,13
21,12,2,3,20,24,1,1,15,9,0,0,1,1,0,3,13,7,6,7
27,12,3,3,6,12,6,1,15,9,0,0,1,0,0,2,6,4,4,3
27,12,4,3,13,22,8,8,15,9,0,0,4,1,0,0,3,3,3,3
22,12,1,3,6,12,6,1,15,9,0,0,1,0,0,2,6,4,4,2
21,12,2,3,20,24,1,1,15,9,0,0,1,1,0,3,13,7,6,7
26,12,4,3,0,1,7,9,15,9,0,0,0,0,0,0,14,7,7,2
19,12,4,1,11,11,13,13,15,9,0,0,0,1,0,0,4,5,3,7
22,12,4,1,6,12,6,1,15,9,0,0,1,0,0,2,6,4,4,2
22,1,2,1,6,12,6,1,31,7,0,0,1,0,0,2,6,4,4,1
19,1,0,1,0,1,7,9,31,7,0,0,0,0,0,0,14,7,7,1
26,1,1,1,0,1,7,9,31,7,0,0,0,0,0,0,14,7,7,1
18,1,1,1,1,3,11,7,31,7,0,0,2,1,0,0,21,13,5,7
26,1,2,1,6,12,6,1,31,7,0,0,1,0,0,2,6,4,4,2
22,1,3,1,4,18,4,0,31,7,0,0,0,0,0,0,1,2,1,2
27,1,3,1,6,12,6,1,31,7,0,0,1,0,0,2,6,4,4,2
26,1,4,1,6,12,6,1,31,7,0,0,1,0,0,2,6,4,4,1
26,1,0,1,0,1,7,9,31,7,0,0,0,0,0,0,14,7,7,2
26,1,1,1,6,12,6,1,31,7,0,0,1,0,0,2,6,4,4,2
26,1,1,1,0,1,7,9,31,7,0,0,0,0,0,0,14,7,7,2
26,1,2,1,0,1,7,9,31,7,0,0,0,0,0,0,14,7,7,2
26,1,3,1,0,1,7,9,31,7,0,0,0,0,0,0,14,7,7,2
26,1,4,1,0,1,7,9,31,7,0,0,0,0,0,0,14,7,7,2
26,1,0,1,0,1,7,9,31,7,0,0,0,0,0,0,14,7,7,2
26,1,1,1,0,1,7,9,31,7,0,0,0,0,0,0,14,7,7,2
18,1,1,1,3,12,6,3,31,7,0,2,0,0,0,0,0,6,0,7
18,1,1,1,16,17,10,6,31,7,0,0,2,1,0,1,19,7,9,7
26,1,2,1,0,1,7,9,31,7,0,0,0,0,0,0,14,7,7,2
22,1,3,1,4,18,4,0,31,7,0,0,0,0,0,0,1,2,1,2
26,1,3,1,0,1,7,9,31,7,0,0,0,0,0,0,14,7,7,2
26,1,0,1,0,1,7,9,31,7,0,0,0,0,0,0,14,7,7,0
22,1,1,1,6,12,6,1,31,7,0,0,1,0,0,2,6,4,4,1
21,1,3,1,16,17,10,6,31,7,0,0,2,1,0,1,19,7,9,3
22,2,4,1,4,18,4,0,29,11,0,0,0,0,0,0,1,2,1,1
1,2,2,1,11,11,13,13,29,11,0,0,0,1,0,0,4,5,3,7
11,2,2,1,3,23,15,10,29,11,0,0,0,1,0,0,18,5,10,7
27,2,3,1,1,3,11,7,29,11,0,0,2,1,0,0,21,13,5,2
22,2,3,1,5,14,10,6,29,11,0,0,2,0,0,2,6,2,5,7
27,2,4,1,13,22,8,8,29,11,0,0,4,1,0,0,3,3,3,2
21,2,4,1,16,17,10,6,29,11,0,0,2,1,0,1,19,7,9,7
11,2,0,1,23,6,6,19,29,11,0,0,0,0,0,0,10,10,4,7
1,2,1,1,23,6,6,19,29,11,0,0,0,0,0,0,10,10,4,7
27,2,0,1,6,12,6,1,29,11,0,0,1,0,0,2,6,4,4,2
22,2,1,1,6,12,6,1,29,11,0,0,1,0,0,2,6,4,4,2
22,2,1,1,3,12,6,3,29,11,0,2,0,0,0,0,0,6,0,1
22,2,1,1,4,18,4,0,29,11,0,0,0,0,0,0,1,2,1,7
24,2,3,1,6,12,6,1,29,11,0,0,1,0,0,2,6,4,4,3
18,2,0,1,19,7,2,1,29,11,0,1,0,0,0,0,15,11,5,7
22,2,1,1,19,7,2,1,29,11,0,1,0,0,0,0,15,11,5,1
22,2,2,1,6,12,6,1,29,11,0,0,1,0,0,2,6,4,4,1
19,2,3,1,5,14,10,6,29,11,0,0,2,0,0,2,6,2,5,7
27,3,1,1,17,22,9,5,35,7,0,0,0,1,0,0,3,4,3,2
19,3,1,1,13,22,8,8,35,7,0,0,4,1,0,0,3,3,3,7
19,3,1,1,2,13,3,2,35,7,0,0,0,1,1,0,9,12,2,3
17,3,1,1,3,10,14,12,35,7,0,1,2,0,1,0,2,5,2,7
21,3,2,1,17,15,9,12,35,7,0,0,1,1,0,1,8,6,5,7
13,3,2,1,13,22,8,8,35,7,0,0,4,1,0,0,3,3,3,7
13,3,3,1,3,12,6,3,35,7,0,2,0,0,0,0,0,6,0,7
14,3,4,1,12,11,11,16,35,7,0,0,2,0,0,1,16,1,11,3
13,3,4,1,13,22,8,8,35,7,0,0,4,1,0,0,3,3,3,11
11,3,0,1,3,10,14,12,35,7,0,1,2,0,1,0,2,5,2,11
1,3,0,1,1,3,11,7,35,7,0,0,2,1,0,0,21,13,5,8
25,3,0,1,13,22,8,8,35,7,0,0,4,1,0,0,3,3,3,8
13,3,1,1,1,3,11,7,35,7,0,0,2,1,0,0,21,13,5,7
6,3,3,1,16,17,10,6,35,7,0,0,2,1,0,1,19,7,9,7
8,3,3,1,3,10,14,12,35,7,0,1,2,0,1,0,2,5,2,7
27,3,4,1,13,22,8,8,35,7,0,0,4,1,0,0,3,3,3,4
22,3,4,1,6,12,6,1,35,7,0,0,1,0,0,2,6,4,4,1
14,3,0,1,15,0,11,11,35,7,0,0,2,1,1,0,5,3,4,7
13,3,1,1,3,23,15,10,35,7,0,0,0,1,0,0,18,5,10,9
22,3,2,1,6,12,6,1,35,7,0,0,1,0,0,2,6,4,4,2
11,3,0,2,6,12,6,1,35,7,0,0,1,0,0,2,6,4,4,7
13,3,0,2,3,12,6,3,35,7,0,2,0,0,0,0,0,6,0,1
11,3,1,2,6,12,6,1,35,7,0,0,1,0,0,2,6,4,4,7
11,3,2,2,6,12,6,1,35,7,0,0,1,0,0,2,6,4,4,8
13,3,2,2,3,23,15,10,35,7,0,0,0,1,0,0,18,5,10,3
14,3,3,2,15,0,11,11,35,7,0,0,2,1,1,0,5,3,4,8
27,3,4,2,6,12,6,1,35,7,0,0,1,0,0,2,6,4,4,2
14,3,4,2,12,11,11,16,35,7,0,0,2,0,0,1,16,1,11,3
27,3,0,2,6,12,6,1,35,7,0,0,1,0,0,2,6,4,4,1
27,4,2,2,17,15,9,12,33,8,0,0,1,1,0,1,8,6,5,1
22,4,2,2,6,12,6,1,33,8,0,0,1,0,0,2,6,4,4,1
27,4,1,2,1,3,11,7,33,8,0,0,2,1,0,0,21,13,5,1
13,4,2,2,11,11,13,13,33,8,0,0,0,1,0,0,4,5,3,9
22,4,3,2,1,3,11,7,33,8,0,0,2,1,0,0,21,13,5,1
27,4,4,2,6,12,6,1,33,8,0,0,1,0,0,2,6,4,4,2
27,4,4,2,13,22,8,8,33,8,0,0,4,1,0,0,3,3,3,4
13,4,2,2,3,23,15,10,33,8,0,0,0,1,0,0,18,5,10,9
22,4,3,2,0,4,15,19,33,8,0,0,1,1,0,0,22,10,10,1
22,4,4,2,17,15,9,12,33,8,0,0,1,1,0,1,8,6,5,3
14,4,4,2,11,11,13,13,33,8,0,0,0,1,0,0,4,5,3,7
27,4,4,2,17,15,9,12,33,8,0,0,1,1,0,1,8,6,5,1
27,4,4,2,12,11,11,16,33,8,0,0,2,0,0,1,16,1,11,7
19,4,4,2,13,22,8,8,33,8,0,0,4,1,0,0,3,3,3,13
19,4,1,2,16,17,10,6,33,8,0,0,2,1,0,1,19,7,9,7
12,4,2,2,1,3,11,7,33,8,0,0,2,1,0,0,21,13,5,9
19,4,2,2,22,21,8,8,33,8,0,0,2,0,1,3,3,8,1,7
13,4,3,2,16,17,10,6,33,8,0,0,2,1,0,1,19,7,9,8
7,4,4,2,10,2,11,9,33,8,0,2,1,0,0,1,17,7,8,3
0,4,0,2,10,14,9,17,33,8,1,0,1,0,1,4,17,0,12,0
13,5,2,2,16,17,10,6,37,4,0,0,2,1,0,1,19,7,9,7
27,5,3,2,1,3,11,7,37,4,0,0,2,1,0,0,21,13,5,2
27,5,0,2,1,3,11,7,37,4,0,0,2,1,0,0,21,13,5,1
18,5,1,2,3,23,15,10,37,4,0,0,0,1,0,0,18,5,10,7
19,5,1,2,6,12,6,1,37,4,0,0,1,0,0,2,6,4,4,7
7,5,2,2,4,18,4,0,37,4,0,0,0,0,0,0,1,2,1,4
27,5,0,2,1,3,11,7,37,4,0,0,2,1,0,0,21,13,5,2
12,5,1,2,3,23,15,10,37,4,0,0,0,1,0,0,18,5,10,1
13,5,2,2,16,17,10,6,37,4,0,0,2,1,0,1,19,7,9,9
0,5,2,2,15,0,11,11,37,4,1,0,2,1,1,0,5,3,4,0
0,5,2,2,19,7,2,1,37,4,1,1,0,0,0,0,15,11,5,0
0,5,2,2,22,21,8,8,37,4,1,0,2,0,1,3,3,8,1,0
0,5,2,2,23,6,6,19,37,4,1,0,0,0,0,0,10,10,4,0
11,5,1,2,3,23,15,10,37,4,0,0,0,1,0,0,18,5,10,1
13,5,2,2,0,4,15,19,37,4,0,0,1,1,0,0,22,10,10,9
21,5,4,2,20,24,1,1,37,4,0,0,1,1,0,3,13,7,6,7
19,6,0,2,11,11,13,13,36,6,0,0,0,1,0,0,4,5,3,7
21,6,0,2,20,24,1,1,36,6,0,0,1,1,0,3,13,7,6,7
10,6,1,2,11,11,13,13,36,6,0,0,0,1,0,0,4,5,3,9
22,6,3,2,17,15,9,12,36,6,0,0,1,1,0,1,8,6,5,4
10,6,4,2,11,11,13,13,36,6,0,0,0,1,0,0,4,5,3,7
11,6,0,2,3,23,15,10,36,6,0,0,0,1,0,0,18,5,10,7
22,6,0,2,1,3,11,7,36,6,0,0,2,1,0,0,21,13,5,4
10,6,0,2,11,11,13,13,36,6,0,0,0,1,0,0,4,5,3,7
13,6,2,2,0,4,15,19,36,6,0,0,1,1,0,0,22,10,10,7
13,6,4,2,10,2,11,9,36,6,0,2,1,0,0,1,17,7,8,8
22,6,1,2,0,4,15,19,36,6,0,0,1,1,0,0,22,10,10,1
13,6,2,2,0,4,15,19,36,6,0,0,1,1,0,0,22,10,10,15
21,6,3,2,22,21,8,8,36,6,0,0,2,0,1,3,3,8,1,7
11,6,4,2,3,23,15,10,36,6,0,0,0,1,0,0,18,5,10,2
27,6,0,0,16,20,17,18,36,6,0,0,0,0,0,2,25,7,15,2
27,6,3,0,6,12,6,1,36,6,0,0,1,0,0,2,6,4,4,2
19,7,1,0,1,3,11,7,24,10,0,0,2,1,0,0,21,13,5,8
1,7,2,0,0,4,15,19,24,10,0,0,1,1,0,0,22,10,10,7
5,7,4,0,0,1,7,9,24,10,0,0,0,0,0,0,14,7,7,7
25,7,4,0,0,1,7,9,24,10,0,0,0,0,0,0,14,7,7,4
25,7,1,0,19,7,2,1,24,10,0,1,0,0,0,0,15,11,5,7
18,7,3,0,3,12,6,3,24,10,0,2,0,0,0,0,0,6,0,7
24,7,4,0,1,3,11,7,24,10,0,0,2,1,0,0,21,13,5,2
