Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,target
115,266,61,24,3,1,3,2,1,2,3,2,1,2,3,4,1,4,3,1,18,11,3,53,19,11,2,77,35,25,41,0,0,22,13,4,4,40,2,0
116,306,61,24,3,1,3,2,1,2,3,2,1,2,3,4,1,4,3,3,18,11,10,28,21,11,2,32,51,41,60,0,0,22,8,4,4,40,2,1
114,11,49,245,3,1,3,2,1,2,1,2,1,2,4,2,5,2,3,3,22,5,16,40,21,22,12,31,48,37,72,0,0,26,12,7,4,39,2,1
114,222,47,238,3,1,3,2,1,2,3,2,1,2,4,3,5,2,3,0,16,5,10,40,16,4,12,25,16,44,62,0,0,22,18,7,4,60,2,1
117,154,44,194,2,1,3,2,1,2,1,2,1,2,4,3,1,4,0,0,15,11,10,53,21,11,12,0,58,51,94,10,0,20,6,5,4,53,2,1
114,228,47,228,3,1,3,2,1,2,3,2,1,2,4,3,1,2,3,0,15,5,8,52,17,6,10,46,16,37,52,10,0,22,10,7,4,39,2,1
117,301,55,122,2,1,3,2,1,1,1,2,1,2,3,6,1,4,1,1,15,11,10,48,16,11,12,0,80,70,51,11,0,22,6,1,4,53,2,1
117,369,55,122,2,1,3,2,1,1,1,2,1,2,3,6,5,4,2,1,15,11,3,48,16,11,10,0,80,70,51,11,0,22,15,1,4,53,2,1
118,176,49,245,3,1,3,2,1,2,3,2,3,2,1,0,4,2,3,0,15,10,14,1,11,11,34,0,31,64,72,4,0,29,13,7,4,34,2,0
120,133,16,171,3,1,3,2,1,2,3,2,1,2,4,2,1,2,3,1,24,8,12,40,16,18,14,117,42,11,9,0,0,29,13,6,4,52,2,1
120,137,16,171,3,1,3,2,1,2,3,2,1,2,4,2,5,2,3,0,24,8,3,40,9,11,12,87,42,20,36,0,0,29,13,6,4,51,2,1
117,327,36,119,3,1,3,2,1,2,3,2,1,2,3,4,1,4,3,1,15,15,14,16,21,11,20,61,35,31,45,0,0,22,13,6,4,40,2,0
121,350,35,119,3,1,3,2,1,2,3,2,1,2,3,4,4,4,3,1,15,15,10,28,11,18,12,57,27,24,73,0,0,26,13,6,4,52,2,0
124,379,30,3,3,1,3,2,1,2,3,2,1,2,3,4,4,4,3,1,8,10,10,23,11,10,7,0,20,61,76,0,0,15,13,7,4,21,2,0
121,309,35,119,3,1,3,2,1,2,3,2,1,2,3,4,1,4,3,1,15,8,8,40,16,18,2,89,27,23,25,0,0,22,13,6,4,34,2,1
113,32,49,245,1,1,3,2,1,1,1,2,1,1,2,1,5,2,3,1,28,10,6,28,28,18,36,0,11,70,51,0,0,22,13,7,4,34,2,0
126,47,38,232,2,1,3,2,1,1,1,2,1,1,2,1,2,2,1,1,3,10,3,16,6,22,36,0,27,70,51,0,0,22,10,3,4,21,2,1
126,54,38,232,2,1,3,2,1,1,1,2,1,1,2,1,0,2,1,1,3,10,3,34,6,22,36,27,27,57,31,0,0,22,23,3,4,21,2,1
123,220,62,113,3,1,3,2,1,2,3,2,1,2,2,1,2,2,1,0,21,3,8,47,5,11,36,65,11,41,20,0,0,22,13,2,4,34,2,1
123,70,62,113,3,1,3,2,1,2,3,2,1,2,2,1,0,2,1,1,21,3,12,48,7,11,36,33,11,46,48,0,0,5,20,2,4,34,2,1
127,374,18,209,2,1,3,2,1,1,1,2,2,1,3,5,1,4,1,1,15,10,6,40,11,14,12,0,76,57,83,0,0,11,13,1,4,58,2,1
127,384,18,122,2,1,3,2,1,1,1,2,2,2,3,5,5,4,1,1,8,10,3,28,17,14,12,0,76,70,51,0,0,4,13,1,4,58,2,1
121,282,64,193,2,1,3,2,1,1,1,2,1,2,3,5,1,4,1,1,3,8,3,46,11,14,7,4,63,54,78,8,0,15,13,1,4,15,2,1
125,193,59,132,2,1,3,2,1,1,1,2,1,2,3,6,1,3,1,1,8,6,3,38,13,18,12,0,55,70,51,0,0,22,13,1,4,58,2,0
128,24,44,195,2,1,3,2,1,1,1,2,1,2,3,6,5,4,4,1,8,7,3,23,15,18,7,42,58,51,23,0,0,20,8,5,4,58,2,0
129,22,44,195,2,1,3,2,1,1,1,2,1,2,3,6,5,4,4,1,11,7,3,16,11,18,2,42,48,51,23,0,0,15,8,5,4,58,2,0
127,19,44,195,2,1,3,2,1,2,1,2,1,2,3,6,5,4,4,1,15,10,10,28,17,18,12,42,60,51,23,0,0,22,13,5,4,58,2,1
127,14,44,195,2,1,3,2,1,2,1,2,1,2,3,6,1,4,4,1,15,10,10,31,13,18,7,27,60,57,31,0,0,22,13,5,4,58,2,1
129,312,65,177,2,1,3,2,1,1,1,2,1,1,3,7,1,4,1,1,6,7,20,28,16,11,12,0,58,57,83,0,0,15,10,1,4,58,2,0
122,314,5,179,2,1,3,2,1,1,1,2,1,1,3,7,1,4,1,0,3,10,6,53,11,11,17,0,63,57,83,0,0,22,13,3,4,49,2,0
130,165,44,195,2,1,3,2,1,2,1,2,1,2,4,2,1,4,3,1,7,9,3,40,31,11,10,106,57,9,28,0,0,21,10,5,4,58,2,1
130,160,44,195,2,1,3,2,1,2,1,2,1,2,4,2,5,4,3,1,7,9,3,48,32,11,12,113,57,6,26,0,0,24,10,5,4,58,2,1
130,274,61,25,3,1,3,2,1,2,3,2,1,2,3,4,1,4,0,1,11,9,8,18,19,10,4,39,21,40,55,0,0,22,8,4,4,74,2,1
130,380,61,25,3,1,3,2,1,2,3,2,1,2,3,4,4,4,0,0,8,9,3,16,10,10,2,45,21,35,58,5,0,22,12,4,4,67,2,1
131,247,66,177,2,1,3,2,1,1,1,2,1,1,3,7,1,4,0,1,8,12,12,53,19,11,17,0,76,57,83,8,0,22,13,1,4,21,2,0
132,169,3,37,2,1,3,2,1,1,1,2,1,2,2,1,0,2,0,1,3,7,3,33,5,16,36,0,13,71,47,0,0,4,18,4,4,58,2,1
136,215,59,130,2,1,3,2,1,1,1,2,1,2,4,2,1,3,1,0,11,3,20,28,21,10,12,35,27,54,27,0,0,22,21,1,4,34,2,0
119,153,8,105,3,1,3,2,1,2,3,2,1,2,4,3,1,4,0,1,8,8,8,40,37,18,10,0,20,57,83,5,0,29,10,7,4,30,2,1
134,158,8,105,3,1,3,2,1,2,3,2,1,2,4,3,5,4,3,1,5,8,3,28,23,18,13,39,20,40,55,8,0,22,13,7,4,30,2,1
133,144,56,215,2,1,3,2,1,2,1,2,1,2,4,2,5,2,3,1,7,9,10,28,26,11,16,0,11,70,51,0,0,26,13,0,4,30,2,1
133,142,56,215,2,1,3,2,1,2,1,2,1,2,4,2,1,2,3,0,6,9,10,40,21,18,14,35,11,54,27,0,0,29,13,0,4,30,2,1
132,169,3,37,2,1,3,2,1,1,1,2,1,2,2,1,0,2,3,1,3,7,3,33,5,16,36,0,13,67,58,0,0,4,18,4,4,58,2,1
135,313,55,123,2,1,3,2,1,1,1,2,1,2,3,5,5,4,1,0,15,8,3,40,23,16,12,0,69,44,102,15,0,15,13,1,4,34,2,1
135,268,55,123,2,1,3,2,1,1,1,2,1,2,3,5,1,4,1,0,15,8,10,46,21,14,12,0,69,44,102,15,0,9,21,1,4,34,2,1
135,316,42,129,2,1,3,2,1,2,1,2,1,2,3,6,1,4,3,1,21,8,8,38,0,11,6,4,18,54,78,0,0,8,22,3,4,30,2,1
135,275,42,129,2,1,3,2,1,2,1,2,1,2,3,6,5,4,3,1,17,8,6,50,1,11,2,41,18,46,37,0,0,11,8,3,4,30,2,1
134,268,55,123,2,1,3,2,1,1,1,2,1,2,3,5,1,4,0,0,15,8,10,53,28,14,17,0,71,57,83,0,0,7,8,1,4,34,2,1
136,13,15,202,2,1,3,2,1,1,1,2,1,2,3,4,1,4,1,1,1,3,3,4,16,10,7,0,27,51,94,0,0,22,11,1,4,30,2,1
136,17,15,202,2,1,3,2,1,1,1,2,1,2,3,4,4,4,1,1,1,3,6,16,11,10,7,0,27,57,83,10,0,11,12,1,4,30,2,1
139,157,44,196,2,1,3,2,1,2,3,2,1,2,4,3,5,4,4,1,8,11,12,39,19,7,16,8,55,65,43,0,0,21,18,5,4,34,2,1
140,345,7,106,3,1,3,2,1,2,3,2,1,2,3,6,1,4,3,1,11,6,12,53,19,11,0,81,2,25,32,0,0,22,13,9,4,18,2,0
140,383,7,191,3,1,3,2,1,2,3,2,1,2,3,6,1,4,3,1,13,6,6,48,13,11,2,81,5,25,32,8,0,22,13,9,4,18,2,0
138,264,60,134,2,1,2,2,1,1,1,2,1,1,3,5,1,4,1,0,8,11,3,28,9,11,10,0,35,57,83,0,0,4,13,3,4,34,2,1
138,385,60,134,2,1,2,2,1,1,1,2,1,1,3,5,5,4,1,1,8,11,8,48,9,16,7,0,35,57,83,0,0,4,13,3,4,31,2,1
137,205,59,130,2,1,3,2,1,1,1,2,1,2,4,2,5,3,1,1,8,0,6,57,26,10,12,0,55,70,51,0,0,22,12,1,4,31,2,1
134,313,55,123,2,1,3,2,1,1,1,2,1,2,3,5,5,4,1,0,15,8,3,53,25,22,17,0,71,44,102,0,0,15,10,1,4,34,2,1
136,143,56,215,2,1,3,2,1,2,1,2,1,2,1,0,4,2,3,1,6,3,15,1,3,11,25,19,11,57,42,0,0,16,13,0,4,31,2,1
136,145,56,215,2,1,3,2,1,2,1,2,1,2,1,0,1,2,3,1,6,3,16,40,11,11,29,0,11,70,51,0,0,26,21,0,4,31,2,1
138,360,61,26,3,1,3,2,1,2,3,2,1,2,3,4,4,4,3,1,15,11,3,24,2,10,7,61,42,31,45,5,0,21,10,0,4,18,2,0
145,12,44,200,3,1,3,2,1,2,3,2,1,2,3,6,1,4,5,0,8,12,12,64,19,16,12,47,58,41,40,16,0,20,13,7,4,21,2,0
144,24,44,200,3,1,3,2,1,2,3,2,1,1,3,6,5,4,5,3,8,12,13,22,17,11,0,36,55,28,83,3,0,24,20,7,4,21,2,0
142,18,44,200,3,1,3,2,1,2,3,2,1,2,3,6,1,4,5,0,8,4,6,28,18,11,2,51,55,29,60,0,0,22,13,7,4,34,2,1
142,21,44,200,3,1,3,2,1,2,3,2,1,2,3,6,5,4,5,0,8,4,3,28,20,11,2,71,55,22,66,0,0,22,13,7,4,34,2,1
149,23,44,200,1,1,3,2,1,2,3,2,1,2,3,6,1,4,5,1,28,8,8,19,9,11,1,0,55,70,51,0,0,22,16,7,4,49,2,0
146,16,44,200,1,1,3,2,1,2,3,2,1,2,3,6,1,4,5,0,28,13,6,16,21,11,12,0,55,70,51,0,0,32,32,7,4,64,2,0
151,23,44,36,1,1,3,2,1,2,3,2,1,1,3,6,1,4,5,1,28,5,8,47,13,18,8,0,55,70,51,0,0,22,13,7,4,49,2,0
151,370,44,200,3,1,3,2,1,2,3,2,1,2,3,5,5,4,5,1,8,5,13,60,26,9,12,0,51,70,51,8,0,13,20,7,4,49,2,0
141,27,44,188,2,1,3,2,1,2,1,2,1,2,3,4,4,4,0,1,10,6,10,16,11,10,2,7,42,51,73,8,0,22,8,5,4,18,2,1
143,307,24,108,2,1,3,2,1,1,1,2,1,2,3,7,5,4,1,0,6,4,3,44,25,18,12,0,58,70,51,8,0,15,12,1,4,9,2,1
147,56,49,246,2,1,3,2,1,1,3,2,1,2,2,1,5,2,3,0,6,10,10,18,6,18,36,0,20,61,76,0,0,23,13,7,4,64,2,1
148,234,49,246,2,1,3,2,1,2,3,2,3,2,1,0,1,2,3,0,15,8,12,17,9,11,32,37,45,35,68,0,1,29,18,7,4,64,2,1
147,30,49,246,2,1,3,2,1,2,3,2,1,2,4,3,1,2,3,0,25,10,3,34,21,7,16,92,34,6,74,11,0,22,13,7,4,64,2,1
150,340,5,180,2,1,3,2,1,1,1,2,1,2,3,4,1,4,1,0,18,2,8,40,16,10,2,25,48,44,63,0,0,3,9,3,4,64,2,1
141,28,44,196,2,1,3,2,1,2,1,2,1,2,3,4,1,4,0,1,10,6,3,16,21,10,2,37,42,35,68,0,0,17,12,5,4,18,2,1
147,76,49,246,3,1,3,2,1,2,3,2,1,2,2,1,0,2,3,0,17,10,3,32,13,11,36,74,27,28,38,0,0,22,13,7,4,64,2,1
147,71,49,246,2,1,3,2,1,1,3,2,1,2,2,1,6,2,3,0,6,10,3,31,4,18,36,0,20,61,76,0,0,20,12,7,4,64,2,1
147,80,49,246,3,1,3,2,1,2,3,2,1,2,2,1,2,2,3,0,17,10,6,40,9,11,36,0,27,57,83,8,0,20,10,7,4,64,2,1
154,14,44,197,2,1,3,2,1,2,1,2,1,2,4,3,5,4,0,0,14,8,13,23,15,11,5,50,51,49,20,5,0,2,2,5,4,34,2,0
152,80,49,246,3,1,3,2,1,2,3,2,1,2,2,1,2,2,3,0,17,2,6,16,14,11,36,53,27,35,49,0,0,20,13,7,4,64,2,1
149,180,49,246,3,1,3,2,1,2,3,2,1,2,2,1,5,2,3,0,17,8,8,30,17,7,13,32,31,41,60,0,0,22,21,7,4,64,2,1
153,283,44,197,2,1,3,2,1,2,1,2,1,2,3,7,5,4,4,0,8,9,3,43,19,17,12,25,45,44,63,0,0,15,13,5,4,34,2,1
152,76,49,246,3,1,3,2,1,2,3,2,1,2,2,1,0,2,3,3,17,2,3,28,7,11,36,78,27,44,92,0,0,21,10,7,4,21,2,1
155,57,44,197,2,1,3,2,1,2,1,2,1,2,3,6,1,4,0,0,8,8,13,48,13,10,2,50,55,49,20,8,0,22,5,5,4,34,2,1
155,84,44,197,2,1,3,2,1,2,1,2,1,2,3,6,5,4,0,0,8,8,13,43,11,10,2,66,55,44,15,8,0,13,12,5,4,34,2,1
156,318,55,124,2,1,3,2,1,1,1,2,1,2,3,5,5,4,1,0,8,8,8,40,21,9,12,25,51,44,63,0,0,18,18,1,4,34,2,1
156,353,61,27,3,1,3,2,1,2,3,2,1,2,3,4,4,4,3,1,11,10,20,25,16,10,12,85,39,24,28,5,0,9,6,4,4,34,2,0
158,96,41,229,2,1,3,2,1,2,1,2,1,2,4,3,1,4,0,3,21,14,12,27,18,11,9,0,31,57,83,0,0,22,8,3,4,38,2,1
160,373,61,28,3,1,3,2,1,2,3,2,1,1,3,4,4,4,0,0,18,14,8,2,11,10,12,25,42,44,63,0,0,22,12,4,4,52,2,0
157,281,61,27,3,1,3,2,1,2,3,2,1,2,3,4,1,4,0,1,11,10,20,30,16,10,2,85,42,24,28,0,0,10,12,4,4,34,2,1
158,99,41,229,2,1,3,2,1,2,1,2,1,2,4,3,5,4,0,0,18,14,3,36,15,11,6,0,31,57,83,0,0,22,22,3,4,38,2,1
159,325,44,197,2,1,3,2,1,1,1,2,1,2,3,7,1,4,0,1,8,14,6,32,15,18,16,0,55,70,51,0,0,18,13,5,4,21,2,1
159,305,44,197,2,1,3,2,1,1,1,2,1,2,3,7,5,4,0,1,8,14,6,52,19,17,12,0,55,70,51,0,0,21,12,5,4,21,2,1
163,390,61,29,3,1,3,2,1,2,3,2,1,2,3,4,4,4,3,1,10,11,10,16,18,10,22,89,48,23,24,12,0,9,10,4,4,21,2,0
164,392,65,178,2,1,2,2,1,1,1,2,1,2,3,7,0,4,1,1,6,9,3,34,39,16,12,0,63,35,110,0,0,0,1,1,4,21,2,0
162,260,7,118,3,1,3,2,1,2,3,2,1,1,3,6,1,4,3,0,9,9,10,28,21,21,2,94,5,22,21,0,0,22,2,7,4,67,2,1
162,387,7,118,3,1,3,2,1,2,3,2,1,1,3,6,5,4,3,0,11,9,10,34,16,21,2,81,5,25,32,0,0,22,21,7,4,67,2,1
165,264,55,125,2,1,3,2,1,1,1,2,1,2,3,5,1,4,1,0,15,8,10,40,11,14,12,13,76,49,72,0,0,22,10,1,4,31,2,1
165,324,55,125,2,1,3,2,1,1,1,2,1,2,3,5,5,4,1,0,12,8,8,40,21,9,12,50,76,25,75,0,0,22,15,1,4,31,2,1
161,337,19,210,2,1,3,2,1,1,1,2,1,2,3,5,1,4,1,1,6,13,6,40,17,14,12,48,51,23,86,0,0,22,16,1,4,34,2,1
161,359,19,210,2,1,3,2,1,1,1,2,1,2,3,5,5,4,1,1,6,13,6,40,27,9,12,91,51,8,67,0,0,22,21,1,4,34,2,1
163,190,59,131,2,1,3,2,1,2,1,2,1,2,3,6,1,3,1,1,6,8,6,16,16,21,2,39,82,40,55,0,0,22,24,3,4,52,2,1
163,1,59,131,2,1,3,2,1,2,1,2,1,2,3,6,5,3,1,1,7,8,6,16,21,21,2,29,82,29,87,0,0,29,21,3,4,52,2,1
166,31,9,214,2,1,3,2,1,2,1,2,1,2,2,1,0,2,3,0,8,9,3,28,9,11,36,0,42,57,83,0,0,24,8,5,4,31,2,1
166,219,9,214,2,1,3,2,1,2,1,2,1,2,2,1,2,2,3,0,8,9,6,34,9,11,36,25,42,44,63,0,0,9,5,5,4,31,2,1
182,197,59,132,2,1,3,2,1,1,1,2,1,2,3,6,1,3,1,0,13,33,15,16,19,11,4,0,51,70,51,0,0,17,22,3,4,31,2,0
176,113,24,109,2,1,3,2,1,1,1,2,1,1,4,3,1,4,1,0,8,25,6,28,19,18,10,0,74,63,73,7,0,22,13,1,4,52,2,0
177,66,49,247,3,1,3,2,1,1,1,2,1,1,2,1,5,2,3,0,18,20,10,46,39,18,36,0,31,57,83,0,0,32,32,7,4,52,2,0
177,199,59,132,2,1,3,2,1,1,1,2,1,2,4,2,1,3,1,0,8,20,16,34,33,11,4,53,24,35,49,3,0,28,18,3,4,52,2,0
178,199,59,132,2,1,3,2,1,1,1,2,1,2,4,2,1,3,1,0,8,17,20,40,27,11,8,53,54,35,49,3,0,28,18,3,4,21,2,0
178,301,30,4,3,1,3,2,1,2,2,2,1,2,3,4,4,4,0,0,10,17,15,15,17,10,7,0,45,24,113,0,0,22,12,7,4,52,2,0
180,379,61,32,3,1,3,2,1,2,3,2,1,2,3,4,4,4,1,0,15,21,8,31,17,10,7,13,43,49,72,5,0,22,10,4,4,31,2,0
181,356,61,32,3,1,3,2,1,2,3,2,1,2,3,4,4,4,3,0,11,22,8,16,17,11,2,13,45,46,75,5,0,15,10,4,4,31,2,0
183,286,60,139,2,1,2,2,1,1,1,2,1,1,3,5,1,4,1,0,12,32,15,40,15,14,19,0,51,57,83,5,0,22,15,3,4,31,2,1
183,340,60,136,2,1,2,2,1,1,1,2,1,2,3,5,5,4,1,0,12,32,12,40,23,9,12,5,51,25,21,0,0,22,15,3,4,31,2,1
179,174,49,247,3,1,3,2,1,2,3,2,1,2,2,1,2,2,3,0,15,17,10,53,10,11,36,0,35,57,83,0,0,18,12,7,4,52,2,1
180,238,49,247,3,1,3,2,1,2,3,2,1,1,1,0,4,2,3,0,15,20,6,8,15,10,36,20,29,61,34,3,0,29,24,7,4,21,2,1
180,181,49,247,3,1,3,2,1,2,3,2,1,1,1,0,1,2,3,0,15,20,6,14,11,10,26,58,29,27,62,0,0,29,13,7,4,21,2,1
179,15,49,247,3,1,3,2,1,2,3,2,1,2,2,1,0,2,3,0,15,17,8,36,12,11,36,110,35,16,13,0,0,22,6,7,4,52,2,1
167,91,5,181,2,1,3,2,1,1,1,2,1,2,4,2,1,4,1,1,3,28,10,4,35,18,11,0,45,46,100,0,0,22,13,1,4,67,2,0
168,92,64,190,2,1,3,2,1,1,1,2,1,2,4,2,1,4,1,1,15,25,8,11,27,20,10,0,20,74,36,0,0,22,13,3,4,49,2,0
169,328,61,30,3,1,3,2,1,2,3,2,1,1,3,4,4,4,3,1,18,18,10,19,13,10,7,117,42,11,9,3,0,21,12,4,4,31,2,0
173,126,64,190,2,1,3,2,1,1,1,2,1,1,4,2,1,4,1,0,6,21,10,32,21,11,2,0,51,80,2,0,0,22,17,3,4,52,2,0
173,376,32,223,3,1,3,2,1,2,3,2,1,1,3,4,4,4,3,1,18,21,6,28,25,10,7,94,48,29,6,8,0,15,6,4,4,31,2,0
171,367,61,27,3,1,3,2,1,2,3,2,1,1,3,4,4,4,3,0,18,14,3,28,19,10,2,95,51,18,30,0,0,22,11,4,4,49,2,0
173,243,49,247,3,1,3,2,1,2,3,2,1,2,1,0,1,2,3,0,15,15,3,37,31,11,29,0,12,70,51,0,0,29,19,7,4,49,2,1
173,38,49,247,3,1,3,2,1,2,3,2,1,2,1,0,4,2,3,0,15,15,3,34,15,11,33,20,12,61,34,7,0,29,13,7,4,49,2,1
174,393,60,135,2,1,2,2,1,1,1,2,1,2,3,5,5,4,1,1,6,21,6,40,23,9,10,25,58,46,57,0,0,11,4,1,4,31,2,1
174,293,60,135,2,1,2,2,1,1,1,2,1,2,3,5,1,4,1,1,6,21,3,28,21,14,20,46,58,37,52,12,0,11,13,1,4,21,2,1
170,295,5,182,2,1,3,2,1,1,1,2,1,2,3,5,1,4,1,1,8,15,3,40,9,14,12,0,76,57,83,12,0,22,21,3,4,31,2,1
170,276,5,244,2,1,3,2,1,1,1,2,1,2,3,5,5,4,1,1,8,15,6,40,11,9,12,0,76,57,83,12,0,9,5,3,4,31,2,1
168,29,44,39,2,1,3,2,1,2,1,2,1,2,3,6,1,4,0,0,28,24,6,19,21,18,2,25,82,44,63,0,0,15,29,3,4,49,2,1
168,25,44,39,2,1,3,2,1,2,1,2,1,2,3,6,5,4,0,1,7,24,6,40,16,11,2,16,82,40,84,0,0,22,21,3,4,49,2,1
167,83,9,214,2,1,3,2,1,2,1,2,1,2,4,3,5,2,3,1,8,19,3,38,17,7,19,25,40,44,63,0,0,22,21,5,4,31,2,1
167,72,9,214,2,1,3,2,1,2,2,2,1,2,4,3,1,2,3,1,8,19,3,33,19,7,16,26,40,49,46,0,0,22,15,5,4,31,2,1
173,273,32,223,3,1,3,2,1,2,3,2,1,1,3,4,1,4,3,1,18,10,8,34,20,10,2,94,48,40,21,8,0,22,13,4,4,21,2,1
175,265,61,31,3,1,3,2,1,2,3,2,1,1,3,4,4,4,3,0,16,29,15,34,23,10,12,0,45,79,4,8,0,22,12,4,4,31,2,0
172,107,24,109,2,1,3,2,1,1,1,2,1,1,4,3,5,4,1,0,8,21,6,48,20,7,10,0,71,64,72,0,0,22,21,1,4,49,2,0
190,263,24,110,2,1,3,2,1,1,1,2,1,2,3,5,1,4,1,0,11,19,12,34,17,14,12,25,68,44,63,5,0,22,18,1,4,49,2,1
189,380,44,198,2,1,3,2,1,2,1,2,1,2,3,7,1,4,4,0,13,33,15,40,21,11,12,0,68,57,83,0,0,9,13,5,4,49,2,1
189,323,44,198,2,1,3,2,1,2,1,2,1,2,3,7,5,4,4,0,13,33,13,40,21,11,12,0,68,29,112,0,0,9,9,5,4,49,2,1
190,261,24,110,2,1,3,2,1,1,1,2,1,2,3,5,5,4,1,0,11,19,14,34,15,9,20,61,68,31,45,5,0,22,23,1,4,49,2,1
188,20,44,198,2,1,3,2,1,2,1,2,1,1,3,6,1,4,1,1,7,35,12,27,5,11,10,13,20,51,65,0,0,22,13,7,4,55,2,1
188,26,44,198,2,1,3,2,1,2,1,2,1,2,3,6,5,4,1,1,7,35,15,28,6,11,7,23,20,40,74,0,0,20,12,7,4,52,2,1
186,338,64,192,2,1,3,2,1,1,1,2,1,2,3,5,1,4,1,1,13,25,15,23,15,14,2,46,27,37,52,0,0,15,21,5,4,67,2,1
184,279,55,213,2,1,3,1,1,1,1,2,1,2,3,7,5,4,1,0,8,27,10,40,25,17,10,0,63,57,83,8,0,22,6,1,4,49,2,1
184,312,55,126,2,1,3,2,1,1,1,2,1,2,3,7,1,4,1,0,8,27,8,40,25,17,14,0,63,57,83,8,0,8,13,1,4,49,2,1
175,107,24,109,2,1,3,2,1,1,1,2,1,2,4,3,5,4,1,0,8,29,3,34,26,18,8,0,76,57,83,0,0,22,13,1,4,31,2,1
175,113,24,109,2,1,3,2,1,1,1,2,1,2,4,3,1,4,1,0,8,29,6,28,23,11,13,0,76,63,73,7,0,22,13,1,4,52,2,1
187,174,49,247,3,1,3,2,1,2,3,2,1,1,1,0,4,2,3,0,15,34,14,53,23,11,29,0,35,70,51,0,0,29,13,7,4,49,2,0
186,334,64,192,2,1,3,2,1,1,1,2,1,1,3,5,5,4,1,1,15,25,15,40,17,9,10,25,27,44,63,0,0,4,5,5,4,67,2,1
184,160,37,217,2,1,3,2,1,1,1,2,1,2,4,2,1,4,0,0,15,27,15,33,38,11,7,62,42,19,84,0,0,26,18,3,4,67,2,1
184,163,37,217,2,1,3,2,1,1,1,2,1,2,4,2,5,4,0,1,15,27,15,27,37,11,8,65,53,24,64,0,0,26,10,3,4,67,2,1
