A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,target
1,64,167,1,3,3,38,0,0,0,1,1,31,160,0
0,71,122,1,7,3,4,0,0,0,0,1,52,0,0
0,141,51,0,3,3,30,0,0,0,1,1,97,0,0
0,59,168,0,4,2,0,1,1,11,1,1,0,0,1
1,43,133,1,5,3,45,1,1,14,0,1,17,67,1
0,3,19,1,7,6,36,1,1,2,0,1,31,0,1
1,15,118,1,2,3,3,0,0,0,0,1,17,49,0
0,329,93,1,10,6,65,1,1,6,0,1,11,119,1
1,125,32,0,1,6,64,0,0,0,0,1,60,116,0
0,314,124,1,3,6,99,1,1,3,1,1,31,35,0
1,182,51,1,13,6,80,1,1,4,1,1,88,143,1
1,247,101,1,10,6,84,1,1,6,1,1,147,0,1
1,48,39,0,7,6,33,1,1,3,1,1,44,78,0
1,197,101,1,13,6,103,1,1,6,1,1,0,149,1
1,328,68,1,7,3,55,0,0,0,1,1,106,0,0
1,283,115,1,3,3,1,0,0,0,0,1,0,195,1
1,141,94,1,8,3,103,1,1,2,1,1,108,0,1
0,32,138,1,5,3,19,1,1,2,0,1,25,123,1
1,41,39,0,3,3,3,0,0,0,0,1,44,4,0
0,68,110,1,10,3,59,1,1,7,0,1,40,201,1
0,128,19,1,5,3,1,0,0,0,0,1,91,150,0
0,34,19,0,5,3,15,1,0,0,1,1,52,0,0
1,245,41,1,1,3,4,0,0,0,0,1,56,0,0
1,249,51,1,3,3,5,1,0,0,0,1,52,0,0
1,37,145,1,5,3,20,0,0,0,0,1,23,100,0
1,175,45,1,12,6,92,1,1,3,1,1,0,0,1
1,69,4,0,3,3,3,0,0,0,0,1,68,43,0
1,180,73,0,7,6,47,1,1,1,1,1,62,234,1
0,154,174,1,7,3,46,1,1,1,0,1,76,19,1
1,76,65,1,7,3,27,1,1,11,1,1,17,185,1
1,117,25,1,7,6,77,1,1,3,1,1,105,65,1
0,46,159,0,13,6,0,0,0,0,1,1,50,27,0
1,304,42,0,7,6,113,1,0,0,1,1,68,49,0
1,76,168,1,8,6,49,1,1,11,1,1,99,91,1
1,258,39,1,6,3,122,0,1,1,1,1,114,53,0
1,347,203,0,0,0,1,0,1,2,0,1,0,101,0
1,94,179,1,5,3,64,1,0,0,1,0,2,0,1
1,235,190,1,8,3,110,1,1,6,1,1,19,0,1
0,281,131,1,7,3,105,1,1,6,1,1,0,163,1
0,279,72,1,13,3,122,1,1,2,1,1,154,177,1
1,77,0,1,12,3,2,1,0,0,0,1,0,0,1
1,70,45,0,5,3,14,0,0,0,1,1,37,41,0
1,114,36,1,13,6,30,1,0,0,0,1,0,215,1
1,337,17,1,7,3,15,1,1,3,1,1,62,0,0
1,83,13,0,7,3,1,0,1,2,0,1,39,6,0
0,49,155,1,10,3,18,1,1,2,1,1,13,0,1
0,89,51,0,7,3,4,0,0,0,0,1,42,0,0
1,7,1,1,7,3,1,0,0,0,0,1,0,0,1
0,140,54,0,9,6,46,0,0,0,0,1,90,17,0
0,307,195,1,7,3,92,1,1,14,0,1,0,187,1
1,172,81,1,3,3,13,0,0,0,1,1,83,0,0
1,52,89,0,2,6,1,0,0,0,0,1,44,49,0
1,128,4,0,3,3,2,0,0,0,0,1,75,184,0
1,33,51,0,7,3,53,0,0,0,1,1,35,6,0
1,122,77,0,10,6,86,0,1,2,1,1,118,1,0
1,125,45,1,8,3,46,1,1,11,1,1,139,29,1
1,238,118,1,5,4,72,1,1,1,0,1,0,114,1
0,215,65,1,2,6,5,0,0,0,0,1,91,85,0
1,256,100,0,8,3,68,1,0,0,1,1,15,172,1
1,320,176,1,6,3,30,1,1,4,1,1,68,0,1
1,261,101,1,2,4,51,0,0,0,1,1,45,0,0
0,83,24,1,8,3,6,0,1,1,1,1,85,4,0
1,27,54,1,2,3,36,1,1,2,0,1,37,93,1
0,242,81,1,2,4,13,0,0,0,0,0,169,0,0
0,89,16,1,10,6,36,1,0,0,0,1,97,140,1
1,252,148,1,13,6,106,1,1,8,0,1,0,0,1
0,37,5,1,10,3,1,0,0,0,1,1,123,0,0
1,57,168,1,2,3,13,1,0,0,1,1,31,42,0
1,159,70,1,0,0,0,0,1,5,0,1,60,63,0
1,119,47,1,12,6,43,1,1,12,1,1,159,130,1
1,289,213,0,0,0,0,1,0,0,1,1,0,0,0
0,151,42,1,8,6,1,0,1,3,0,1,0,28,0
1,139,39,1,8,3,42,0,0,0,0,1,68,0,0
1,129,102,0,7,4,36,1,1,8,1,1,46,7,1
1,239,207,1,9,7,130,1,1,11,0,1,0,157,1
1,210,91,1,10,3,72,0,0,0,0,1,143,35,0
1,101,11,1,3,6,72,0,0,0,1,1,110,0,0
1,144,81,1,7,3,4,0,0,0,0,1,75,0,0
1,76,0,1,3,3,25,0,1,11,0,0,0,0,0
0,170,44,1,8,3,27,1,1,16,0,1,37,183,1
1,96,81,1,12,3,16,1,1,7,0,1,0,222,1
0,199,84,1,0,0,0,0,1,6,0,1,0,76,0
0,28,150,1,1,3,10,0,0,0,0,1,23,33,0
1,237,101,1,2,4,5,0,0,0,0,1,157,0,0
1,80,32,1,7,3,13,0,0,0,1,0,97,0,0
1,218,0,1,7,3,0,0,0,0,0,2,64,0,1
0,91,188,1,10,6,36,0,0,0,0,1,97,1,0
0,275,184,1,2,4,88,1,1,9,1,1,0,0,1
1,189,105,1,8,3,2,0,0,0,1,1,99,6,1
1,65,19,0,0,0,0,0,0,0,0,1,31,0,0
1,124,40,1,3,6,6,0,0,0,1,0,44,0,0
1,257,88,1,5,3,1,0,0,0,0,1,33,49,0
1,134,192,1,1,3,3,0,0,0,0,1,0,92,0
1,207,101,1,7,4,57,1,1,6,0,1,0,103,1
0,23,150,0,10,6,4,0,0,0,0,1,110,0,0
1,54,45,1,8,3,36,0,0,0,0,1,48,8,1
0,227,49,1,5,3,6,0,0,0,0,1,0,105,0
1,166,1,0,6,3,1,0,0,0,0,1,0,0,0
0,14,143,1,5,3,42,0,1,10,1,1,0,10,0
0,46,28,1,10,3,38,1,1,1,0,1,0,0,1
0,229,86,1,7,3,64,0,0,0,0,1,148,0,0
1,225,8,1,3,3,2,1,0,0,1,1,97,0,1
1,123,189,1,8,3,94,1,0,0,1,1,149,114,1
1,124,19,0,12,3,6,1,1,2,0,1,91,114,1
1,33,0,0,0,0,0,0,1,4,0,1,12,1,0
0,94,29,1,13,6,26,1,0,0,1,1,52,219,1
1,123,54,1,13,6,25,1,1,4,0,1,44,223,1
1,66,138,1,5,3,2,0,0,0,0,1,0,0,0
0,294,187,1,3,6,109,1,0,0,1,1,0,0,1
1,172,65,1,7,3,30,0,0,0,1,1,97,0,0
1,221,153,0,3,3,3,0,0,0,0,1,52,0,0
1,278,118,1,7,3,25,0,0,0,1,1,0,81,0
1,125,86,0,2,6,94,1,1,2,1,1,21,0,0
0,203,30,1,5,3,19,1,1,4,0,1,0,174,1
1,183,9,1,2,4,75,0,0,0,1,0,135,0,0
1,188,2,0,6,4,1,1,1,1,1,1,97,179,1
0,49,157,1,12,6,8,1,1,1,1,1,23,35,1
1,180,32,1,13,3,19,1,1,7,1,1,110,206,1
1,72,163,1,10,3,57,1,1,7,1,1,31,139,1
1,289,135,1,7,6,118,1,1,9,0,1,63,176,1
1,241,101,1,7,3,84,1,1,7,0,1,0,200,1
1,48,28,0,7,3,46,0,0,0,1,0,85,0,0
0,226,45,1,0,0,0,0,0,0,0,1,22,0,0
0,322,204,1,7,3,92,1,1,7,0,1,0,199,1
0,159,84,1,12,6,16,1,1,9,1,1,63,0,1
1,63,26,1,8,3,7,0,1,1,0,1,135,90,0
0,326,150,1,10,3,75,1,1,14,0,1,0,175,1
1,136,12,1,7,3,7,0,0,0,0,1,76,61,0
0,272,86,1,4,2,0,1,0,0,0,1,31,147,1
1,51,72,0,1,3,27,1,1,8,1,1,52,1,1
0,91,179,1,5,3,36,1,1,12,1,1,37,120,1
0,50,16,0,9,1,25,0,0,0,0,1,91,0,0
1,90,186,0,0,0,0,0,0,0,0,1,64,0,0
0,111,68,0,7,3,2,0,0,0,0,0,23,0,0
1,243,28,1,0,0,0,1,0,0,0,1,41,1,0
0,222,92,1,7,3,3,0,0,0,0,1,52,0,0
1,38,19,1,0,0,0,0,1,3,0,1,113,136,0
1,231,143,1,6,3,98,1,1,14,0,1,85,210,1
1,103,16,1,7,3,35,1,1,5,1,1,105,0,1
0,273,72,1,7,3,54,1,1,8,1,1,128,207,1
1,39,150,0,3,6,22,1,0,0,1,1,44,0,0
0,66,39,0,0,0,70,0,0,0,0,1,97,0,0
1,31,82,0,0,0,0,0,0,0,1,1,62,1,0
1,338,205,1,13,6,128,1,1,9,1,1,0,149,1
0,10,39,1,10,3,6,0,1,1,0,1,33,47,0
0,342,195,1,9,7,0,1,1,14,0,1,0,203,1
1,348,209,1,9,7,119,1,1,1,1,1,0,52,1
0,4,71,1,10,3,2,0,0,0,0,1,37,0,0
1,196,86,1,1,4,118,1,0,0,1,1,64,0,0
0,279,131,1,9,4,98,1,1,6,0,1,122,238,1
1,77,0,1,7,3,0,0,0,0,0,2,64,0,1
1,269,45,1,7,3,57,1,0,0,1,1,44,0,0
1,1,122,1,9,3,25,0,0,0,0,1,160,0,0
1,31,13,0,7,3,4,0,1,1,0,1,68,1,0
1,306,118,1,3,3,97,1,1,15,0,1,0,230,1
1,34,0,0,6,4,0,0,0,0,1,0,151,1,1
1,21,5,1,10,5,5,0,0,0,0,1,68,31,1
1,217,28,1,9,3,1,0,0,0,0,1,37,5,0
1,71,47,0,8,3,66,1,1,6,0,1,23,0,1
1,282,90,1,13,4,2,0,0,0,1,1,155,0,0
1,188,65,1,7,3,25,0,0,0,0,1,145,16,0
0,179,48,1,1,3,14,0,0,0,1,1,0,0,0
1,260,12,0,7,3,9,1,1,8,1,1,101,69,1
1,192,87,0,2,4,109,1,1,7,1,1,67,0,1
1,257,72,1,2,4,25,1,0,0,0,1,0,76,0
1,24,5,1,1,3,6,0,0,0,1,0,97,0,0
1,76,65,1,0,0,2,0,0,0,1,1,31,208,0
0,69,134,0,13,3,56,0,0,0,0,1,54,0,1
1,20,7,1,5,3,1,0,0,0,0,1,97,134,0
1,26,158,0,5,3,3,1,0,0,0,1,37,104,0
0,123,45,1,6,3,46,1,0,0,0,0,117,0,0
0,32,140,0,7,3,25,1,1,4,1,1,23,114,1
1,71,25,1,2,3,38,0,1,1,1,1,130,9,0
1,335,182,0,7,6,84,1,0,0,0,1,35,0,0
0,81,138,1,10,3,109,1,1,5,1,1,37,0,1
1,200,76,1,13,6,73,1,0,0,1,1,162,0,0
0,321,91,0,0,0,84,0,0,0,1,1,0,4,0
0,308,5,1,0,0,0,0,0,0,1,0,18,25,0
1,245,87,1,12,6,100,1,1,8,0,1,106,0,1
1,254,102,1,10,6,119,1,0,0,1,1,26,0,1
1,245,39,0,8,3,6,0,0,0,0,1,0,74,0
0,185,25,1,3,4,25,1,1,3,1,1,74,0,0
1,102,179,1,12,3,29,1,1,22,1,1,44,88,1
1,87,119,0,1,3,92,1,0,0,1,0,31,0,1
1,79,170,0,8,3,22,1,0,0,1,1,52,93,1
1,154,65,1,12,6,51,0,0,0,1,0,110,0,0
1,214,86,1,7,4,84,1,0,0,1,0,97,0,0
1,109,46,1,8,3,3,0,0,0,0,1,31,0,0
0,143,21,1,8,3,6,0,0,0,1,1,101,0,0
0,75,53,1,4,2,0,0,1,1,0,1,68,36,0
1,13,72,1,3,3,1,0,0,0,1,1,52,31,0
1,138,194,1,5,3,85,1,1,5,1,1,56,0,1
0,133,82,1,2,4,13,1,0,0,1,1,58,0,0
1,193,0,1,7,3,0,0,0,0,0,2,64,0,0
1,80,19,1,7,6,2,1,0,0,0,1,62,0,0
1,94,166,1,7,3,57,1,1,17,0,1,68,158,1
0,30,126,1,10,3,61,1,1,5,0,1,64,235,1
1,12,9,1,10,3,8,0,1,4,0,1,52,8,0
0,6,11,1,0,0,0,0,1,1,0,1,52,58,0
1,177,65,1,5,3,42,0,1,2,1,1,164,0,0
0,45,150,1,7,6,25,1,1,4,0,1,14,173,1
0,60,51,0,4,2,0,0,0,0,0,1,52,0,0
1,180,33,1,11,6,98,1,0,0,1,1,54,236,1
0,98,56,1,7,6,62,1,0,0,1,1,116,1,0
0,91,72,1,10,6,43,1,1,18,0,1,0,114,1
1,156,0,1,8,3,30,1,1,1,0,1,69,0,1
1,49,103,0,4,3,7,0,0,0,0,1,44,73,0
0,240,132,0,3,3,4,0,1,2,0,1,64,18,0
1,139,39,1,7,6,6,0,1,2,1,1,130,51,0
1,243,16,0,6,3,13,0,0,0,1,1,41,0,0
0,140,15,1,3,3,14,1,1,4,0,1,123,114,1
1,311,16,0,3,6,74,1,0,0,0,1,62,94,1
1,187,108,0,7,3,36,0,0,0,1,1,17,0,0
1,94,174,1,3,3,51,1,1,2,1,1,37,5,0
0,112,66,0,0,0,0,0,0,0,1,1,62,40,0
0,179,96,1,10,6,39,1,1,2,0,1,0,0,1
1,184,58,1,7,3,36,0,0,0,0,2,37,0,0
1,206,108,1,2,4,84,0,0,0,0,1,72,128,0
1,37,10,1,3,3,7,0,0,0,0,1,97,102,0
1,86,29,1,10,3,82,1,1,2,1,1,155,179,1
0,152,118,1,7,4,75,1,1,7,1,1,0,200,1
1,41,122,1,7,3,13,0,0,0,0,1,0,0,0
1,98,18,1,7,3,7,1,1,7,1,1,29,213,1
1,141,98,1,6,3,46,0,1,1,1,1,145,42,0
1,261,60,1,2,4,19,1,0,0,0,1,158,0,0
1,135,37,1,3,3,13,1,0,0,0,0,97,0,0
1,162,72,0,2,4,100,0,0,0,0,1,0,1,0
1,44,149,1,9,1,0,1,0,0,0,1,0,0,1
1,268,135,1,12,6,123,1,1,1,1,1,25,179,1
0,73,61,1,10,6,52,1,1,7,1,1,44,192,1
0,48,72,1,10,3,4,1,1,3,0,1,31,6,1
1,125,45,1,8,3,51,0,1,1,1,1,31,3,0
1,243,60,0,13,6,114,1,0,0,1,1,60,0,0
1,317,214,0,7,3,131,1,1,21,0,1,0,15,1
0,338,5,1,0,0,0,1,1,1,0,1,83,49,1
0,68,166,0,13,6,19,1,1,4,0,1,0,96,1
0,87,65,0,2,4,80,0,0,0,0,1,68,110,0
0,344,114,1,0,0,0,0,0,0,0,0,0,0,0
1,202,25,1,3,3,36,0,0,0,1,1,82,0,0
1,286,174,1,6,3,127,1,0,0,0,0,34,0,1
0,127,195,0,9,7,0,1,0,0,0,1,0,231,1
1,199,65,1,3,3,80,1,1,7,0,1,48,164,1
1,292,128,1,2,4,104,1,1,15,1,1,0,212,1
1,349,108,1,7,3,14,1,0,0,0,1,0,98,0
1,138,184,1,1,6,13,0,0,0,0,1,80,0,0
0,11,16,1,2,3,4,0,1,6,1,1,85,29,0
0,5,5,1,5,3,25,0,1,2,1,1,106,1,0
1,332,192,1,0,0,129,1,1,15,1,1,0,149,1
1,126,54,1,3,6,76,1,1,2,1,1,63,0,1
1,248,46,1,2,4,72,0,0,0,0,1,75,0,1
1,85,138,1,5,3,6,0,0,0,1,1,0,0,0
1,89,185,0,5,3,1,0,0,0,1,1,37,112,0
1,195,195,1,11,5,91,1,1,9,1,1,0,60,1
1,184,39,1,8,3,28,0,0,0,0,1,37,0,0
0,242,150,1,10,6,42,1,0,0,0,1,7,142,1
1,46,53,1,7,3,51,1,1,1,0,1,31,65,1
1,217,36,0,1,3,36,0,0,0,1,1,137,0,1
1,287,91,1,6,3,3,1,0,0,1,1,79,0,1
1,75,25,1,6,3,13,0,0,0,1,0,106,0,0
1,198,80,1,7,6,108,0,0,0,1,1,0,0,0
1,9,69,1,5,3,17,0,1,1,0,1,23,21,0
1,71,159,1,10,6,32,1,0,0,0,1,31,0,1
0,60,172,1,7,3,6,0,0,0,1,1,62,0,0
0,95,66,0,5,3,6,1,0,0,1,1,119,0,1
1,208,57,0,8,3,2,1,1,1,0,1,14,156,1
0,133,84,1,7,3,6,0,1,1,1,1,10,66,0
1,65,175,1,7,3,71,0,1,2,1,1,62,71,0
1,189,46,1,12,3,37,1,1,1,1,1,155,237,1
1,198,65,1,2,3,25,0,0,0,1,1,72,0,0
1,133,83,1,5,3,6,0,0,0,1,1,31,0,0
0,34,107,1,2,6,7,0,0,0,0,1,23,113,0
1,78,32,1,7,3,22,1,0,0,0,0,101,0,1
1,10,4,1,7,3,4,0,0,0,0,1,42,0,0
0,42,4,1,10,3,25,0,1,1,0,1,85,135,1
1,67,163,1,8,3,46,1,1,1,0,1,23,89,1
1,187,103,0,2,4,27,0,0,0,1,1,148,0,0
0,322,11,1,2,4,25,1,0,0,1,1,87,186,0
1,8,28,1,6,3,2,1,0,0,0,0,68,0,0
1,176,65,1,12,6,62,1,1,6,0,1,52,182,1
1,285,210,1,8,3,42,1,1,3,0,1,37,14,1
1,189,69,1,2,4,57,0,0,0,1,1,83,76,0
1,25,38,0,9,1,0,0,0,0,0,1,31,0,0
1,265,16,1,6,3,115,1,0,0,0,0,130,0,0
1,227,51,1,3,3,13,0,0,0,1,1,101,2,0
1,163,25,0,5,3,72,0,0,0,1,1,106,0,0
1,95,50,1,13,3,40,1,1,1,1,1,127,20,1
1,340,163,1,9,7,130,1,1,7,1,1,4,0,1
1,246,0,1,7,4,125,1,0,0,0,1,0,0,1
1,159,36,1,0,0,0,0,1,1,0,1,29,19,0
0,213,97,1,0,0,0,0,0,0,0,1,52,0,0
1,172,126,1,9,4,38,1,0,0,1,0,135,0,0
0,167,75,1,0,0,65,0,1,2,1,1,68,4,0
1,92,69,1,7,3,51,1,1,6,0,1,64,124,1
1,62,17,0,13,3,1,1,1,1,1,1,166,39,1
1,190,72,1,12,6,102,1,0,0,1,1,0,0,1
1,301,72,0,0,0,36,0,0,0,0,1,62,4,0
0,162,45,1,0,0,0,0,1,2,1,1,68,50,0
1,223,23,1,7,3,9,0,1,2,0,1,79,114,0
1,230,50,1,13,3,3,1,1,5,1,1,148,0,1
1,23,64,1,7,5,24,0,1,2,1,1,52,122,0
1,228,101,1,12,3,72,1,1,10,1,1,0,0,1
1,41,164,1,7,3,46,0,0,0,1,1,43,0,0
1,175,62,1,1,6,94,0,0,0,1,1,100,0,0
1,28,111,1,1,3,14,0,0,0,0,1,37,0,0
0,3,129,1,10,3,3,0,1,1,1,1,0,68,0
1,232,113,1,12,6,114,1,1,14,1,1,129,0,1
0,38,21,1,8,3,40,0,0,0,0,1,76,5,0
1,55,159,1,7,3,64,1,0,0,1,1,0,0,1
0,71,25,1,7,3,46,0,1,2,1,1,68,106,0
1,102,77,1,7,6,52,0,1,1,1,1,134,21,0
1,52,152,0,9,6,30,0,0,0,0,1,91,0,0
0,290,45,1,4,2,0,1,0,0,1,1,31,25,0
1,48,106,1,10,3,9,1,1,1,0,1,52,0,0
0,39,8,1,10,6,7,1,1,11,0,1,23,48,1
1,61,9,1,1,6,17,1,0,0,1,1,0,0,1
1,115,17,1,3,0,0,0,0,0,0,1,31,0,0
0,224,101,1,12,3,121,1,0,0,1,1,168,0,0
0,295,180,1,5,3,52,1,1,3,1,1,51,0,1
0,2,12,1,7,3,25,0,0,0,0,1,37,18,0
0,89,182,1,7,4,83,1,1,2,0,1,20,109,1
1,51,99,0,8,3,51,1,1,1,1,1,23,93,1
1,64,163,1,12,3,17,1,0,0,0,1,31,0,1
1,312,142,1,0,0,124,1,1,11,1,1,8,93,1
1,22,108,1,3,3,13,1,0,0,0,1,23,0,1
1,212,92,0,3,3,6,1,1,10,1,1,106,0,1
1,220,153,1,13,3,57,1,1,6,0,1,155,75,1
1,61,46,1,3,3,2,0,0,0,1,1,115,0,0
0,302,118,1,2,4,66,0,0,0,1,1,20,0,0
1,65,60,1,2,3,3,0,0,0,0,1,52,10,0
1,305,45,1,1,3,73,0,0,0,1,1,0,100,0
0,334,101,1,5,3,75,1,1,4,0,1,0,48,1
1,43,109,1,8,3,41,1,0,0,0,0,37,0,1
1,78,86,1,7,4,6,1,0,0,1,1,52,0,1
1,206,14,0,8,3,7,0,0,0,1,1,103,2,0
0,255,51,0,7,3,0,0,0,0,1,1,48,1,0
1,82,28,1,2,6,2,0,0,0,1,1,76,5,0
0,204,32,1,7,3,46,1,1,11,0,1,0,110,1
1,235,101,1,0,0,0,0,1,2,0,1,1,1,0
0,31,92,0,7,6,64,1,0,0,0,1,85,0,1
1,119,20,1,5,3,11,1,0,0,1,1,68,0,0
1,173,72,1,1,3,4,0,0,0,1,1,37,0,0
1,36,45,0,12,3,46,1,0,0,1,1,31,20,0
0,70,161,1,10,3,10,1,1,5,1,1,0,119,1
1,237,117,1,10,3,1,1,1,1,0,1,68,93,1
