A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,target
1,71,5,1,7,2,51,0,0,0,1,0,0,0,1
0,80,26,0,10,3,36,1,1,2,1,1,23,108,1
0,146,106,1,9,1,51,1,1,5,1,1,30,114,1
0,240,127,0,10,6,107,1,1,14,0,1,0,191,1
0,213,104,1,9,3,84,1,0,0,1,1,0,205,1
1,157,56,1,7,3,2,0,0,0,0,1,101,0,0
0,96,71,1,13,6,23,1,0,0,0,1,116,0,1
1,121,179,1,5,4,6,0,0,0,1,1,164,0,0
1,162,86,1,13,3,84,1,1,3,1,1,99,189,1
1,188,118,1,5,3,3,1,0,0,1,1,141,0,0
1,64,62,1,3,3,19,0,0,0,0,1,62,0,0
1,158,74,1,7,3,57,0,1,2,1,1,52,32,0
1,162,16,1,7,4,22,1,0,0,1,0,106,0,0
1,5,75,1,8,3,2,0,1,1,0,1,0,6,0
1,119,49,1,12,6,86,1,1,9,0,1,129,141,1
1,96,72,1,7,3,30,0,1,1,0,1,0,22,0
1,341,108,1,9,7,120,1,1,1,1,1,0,0,1
0,31,143,1,8,3,39,1,1,6,1,1,10,124,1
0,119,10,1,6,6,3,0,1,1,1,1,94,51,0
0,38,21,0,7,3,25,0,1,1,0,1,170,2,0
1,155,47,1,1,3,15,0,0,0,1,0,0,0,0
0,296,28,1,5,3,13,0,0,0,1,1,85,55,0
1,158,45,0,8,3,1,0,0,0,0,0,52,0,0
1,300,195,1,7,3,109,1,1,9,0,1,0,0,1
0,211,10,1,0,0,0,0,1,10,0,1,68,18,0
1,183,69,1,6,3,77,1,1,6,0,1,70,0,1
0,50,72,1,5,3,1,1,0,0,0,1,31,0,1
1,206,201,1,8,3,2,0,0,0,0,1,106,204,0
1,297,19,1,0,0,0,0,0,0,0,1,47,0,0
0,82,27,1,10,3,10,0,1,1,1,1,68,11,0
1,199,94,1,13,6,94,0,0,0,1,0,163,0,1
0,327,206,1,2,4,114,1,1,13,0,1,0,221,1
1,129,29,1,6,3,24,1,1,3,1,1,128,0,1
1,162,20,1,3,3,6,0,0,0,0,1,123,180,0
0,165,72,0,4,2,0,0,0,0,0,1,52,20,0
1,36,118,1,8,6,35,1,1,7,0,1,23,198,1
1,229,114,1,6,3,31,1,1,5,1,1,33,154,1
1,12,78,1,2,3,8,0,0,0,1,1,44,2,0
1,267,122,0,7,3,39,0,0,0,0,1,52,2,0
1,8,0,0,5,3,6,0,0,0,0,1,17,0,0
0,245,118,1,10,3,13,1,1,3,1,1,47,0,1
1,136,195,1,7,6,90,1,1,11,0,1,0,190,1
0,108,54,1,4,2,0,0,0,0,1,1,96,1,0
1,224,79,1,8,3,75,1,1,14,0,1,125,167,1
1,96,114,1,7,3,25,1,1,3,0,1,0,0,1
0,128,12,1,10,3,15,1,1,4,0,1,23,0,1
1,346,200,1,0,0,0,1,0,0,1,1,0,0,1
1,69,168,0,6,3,36,0,0,0,1,1,0,205,0
0,118,39,1,0,0,0,0,1,1,0,1,26,93,0
0,34,136,1,12,6,19,1,1,7,0,1,29,0,1
0,101,0,1,7,3,0,0,0,0,0,2,64,0,1
1,162,1,0,1,3,77,0,0,0,1,1,145,0,0
0,69,135,1,10,3,42,1,1,10,0,1,23,148,0
0,74,39,1,10,3,6,0,0,0,1,1,37,139,0
1,78,181,1,7,3,3,0,1,2,0,1,0,216,0
0,140,35,0,13,3,25,0,0,0,0,1,97,13,0
0,168,114,1,1,3,30,0,0,0,0,1,94,0,0
1,117,45,0,8,3,9,1,0,0,1,1,91,153,1
1,35,162,1,7,4,15,0,1,2,1,1,68,7,0
1,203,63,1,8,3,3,0,1,2,0,1,76,1,0
1,31,0,1,10,3,17,0,0,0,0,1,52,1,0
0,135,84,1,7,3,27,1,1,1,1,1,120,0,1
1,191,91,1,2,4,70,1,1,2,0,1,95,125,1
0,181,72,0,5,3,46,0,0,0,0,1,62,0,0
1,309,146,1,9,3,111,1,1,5,0,1,0,0,1
1,97,32,1,5,3,13,0,0,0,0,1,68,0,0
1,173,58,0,3,0,0,0,0,0,0,1,37,0,0
0,52,101,0,0,0,0,0,0,0,0,1,0,0,0
0,318,197,1,4,0,0,1,1,15,0,1,0,86,1
1,171,5,0,7,6,70,1,1,1,1,1,138,224,1
0,47,173,1,7,6,95,1,0,0,0,1,110,0,1
0,149,108,1,3,3,92,0,0,0,1,0,31,0,0
0,90,22,1,5,6,42,1,0,0,0,1,130,0,0
1,77,165,1,13,6,12,1,1,1,0,1,31,0,1
0,162,166,1,0,0,0,0,0,0,0,1,64,214,0
0,172,17,1,12,3,1,1,0,0,0,1,140,229,1
1,84,45,1,1,6,44,1,1,6,0,1,68,97,1
1,213,4,0,7,3,36,0,0,0,1,1,83,54,1
1,144,39,0,3,3,6,0,0,0,0,1,78,0,0
0,85,16,1,10,6,30,1,1,1,0,1,0,127,1
1,53,9,0,7,6,6,0,0,0,0,1,97,77,0
1,161,196,1,7,3,13,1,0,0,0,1,37,0,0
1,73,72,1,6,3,31,1,1,1,0,1,91,138,1
1,217,51,0,7,4,6,1,0,0,1,1,54,108,0
0,92,94,1,8,3,25,0,0,0,1,1,116,6,0
1,208,85,1,8,3,28,1,0,0,1,1,68,0,0
0,277,25,1,10,6,62,1,1,1,0,1,109,144,1
1,169,86,0,12,3,36,0,0,0,1,1,37,0,0
0,153,160,1,10,6,2,0,1,12,1,1,40,3,0
1,125,46,1,8,3,73,1,1,5,1,1,31,3,1
1,313,196,1,9,7,0,1,1,19,0,1,49,59,0
1,6,25,1,7,3,42,1,1,5,1,1,114,129,1
1,90,179,1,8,3,23,1,0,0,1,1,91,0,0
1,174,108,1,10,6,92,1,1,12,1,1,131,149,1
1,148,16,1,7,3,42,1,1,11,0,1,9,117,1
1,66,15,1,3,3,3,0,0,0,1,1,97,37,0
1,250,31,1,13,3,57,1,0,0,0,1,152,124,1
1,212,54,1,2,3,6,0,0,0,1,1,77,0,0
1,104,183,1,12,3,13,0,0,0,0,1,0,2,0
1,145,53,1,7,6,79,1,0,0,0,1,91,76,1
1,42,9,1,10,3,3,0,0,0,0,1,68,0,0
1,39,12,1,10,3,46,1,1,2,1,1,23,0,1
1,299,1,1,13,6,1,1,0,0,0,1,0,199,1
1,336,122,1,9,7,0,0,0,0,0,1,0,12,0
1,241,78,1,6,3,72,0,0,0,1,0,130,0,0
0,9,8,1,5,3,3,0,0,0,0,1,68,1,0
1,140,18,1,8,3,7,0,1,1,0,1,110,197,0
1,187,94,1,5,3,25,1,0,0,1,1,85,0,0
0,345,0,1,7,3,0,0,0,0,0,2,64,0,1
1,252,7,1,2,6,87,1,0,0,0,1,130,0,1
0,69,163,0,10,3,64,1,0,0,1,1,93,0,0
1,88,54,1,9,1,4,0,1,2,0,1,106,165,0
1,266,16,1,2,6,84,1,0,0,1,1,106,0,1
0,75,172,1,13,6,13,1,1,2,1,1,101,118,1
1,191,41,1,2,4,3,0,0,0,1,1,140,209,0
1,76,168,1,2,3,72,1,1,9,0,1,16,133,1
1,105,29,1,3,3,9,0,1,2,1,1,59,3,0
0,17,138,1,5,3,33,1,0,0,1,1,0,0,1
1,46,35,1,10,3,36,0,0,0,0,1,33,7,0
1,164,198,1,1,3,64,1,1,9,0,1,86,132,1
0,324,54,1,0,0,98,0,1,1,0,1,0,10,0
1,331,46,1,10,3,3,1,0,0,1,1,91,0,1
0,339,191,1,0,0,0,1,1,11,1,1,0,170,1
1,147,33,0,2,4,13,1,1,10,1,1,42,26,0
1,288,118,1,10,6,95,1,0,0,1,1,113,0,1
0,82,168,0,3,6,64,0,0,0,1,1,2,16,0
1,43,140,1,7,3,40,1,1,3,1,1,10,26,1
1,284,129,1,8,6,126,1,1,12,0,1,0,137,1
1,78,45,1,10,3,54,1,1,3,1,1,0,121,1
1,171,191,0,0,0,0,0,1,2,0,1,52,1,0
1,183,11,0,12,3,2,0,0,0,0,1,62,0,0
1,82,15,0,8,3,60,1,1,6,1,1,71,99,0
1,11,11,0,3,3,7,0,0,0,0,0,68,0,0
0,50,135,1,7,3,4,0,0,0,0,1,0,101,0
0,333,199,1,10,3,116,1,0,0,1,1,3,228,1
1,162,101,0,5,3,109,1,0,0,0,1,0,0,0
0,94,177,1,12,6,72,1,1,6,0,1,130,111,1
1,57,147,1,7,3,6,1,0,0,0,1,44,0,0
1,46,0,1,7,3,0,0,0,0,0,2,64,0,0
0,97,186,0,0,0,46,0,1,1,1,1,68,1,0
1,258,96,1,10,3,81,1,0,0,0,0,0,0,1
1,113,51,0,7,3,25,1,1,5,1,1,52,217,1
1,325,123,1,6,3,123,1,1,6,1,1,116,166,1
1,315,168,1,0,0,84,1,1,5,0,1,0,225,1
1,298,150,1,2,4,0,1,1,11,0,1,0,162,1
1,236,16,1,6,3,6,1,0,0,0,0,98,0,0
1,122,55,0,5,3,46,1,1,3,1,1,119,119,1
1,148,118,1,12,3,67,1,1,8,0,1,108,157,1
1,301,55,0,0,0,36,0,0,0,0,1,37,1,0
0,94,163,0,5,3,80,1,0,0,0,1,37,0,0
1,142,25,0,7,3,1,0,0,0,0,1,85,0,0
0,184,12,1,12,3,9,0,0,0,0,1,101,34,1
1,103,25,1,7,4,6,1,0,0,0,1,112,23,1
0,134,33,1,7,3,57,1,1,5,1,1,101,171,1
0,22,12,2,12,0,114,0,0,0,1,0,101,0,1
1,46,122,1,7,3,39,1,1,3,0,1,68,169,1
1,16,208,2,0,5,0,0,0,0,1,2,142,239,1
1,22,121,0,6,3,1,0,0,0,0,1,44,0,0
1,280,65,1,6,4,57,1,1,12,1,1,132,194,1
1,323,135,1,9,6,100,1,1,3,0,1,0,0,1
1,0,86,0,8,3,42,1,1,2,1,1,37,149,1
1,35,143,1,10,3,25,1,0,0,1,1,17,108,1
0,62,171,1,3,6,2,0,0,0,0,1,106,5,0
1,17,150,1,8,6,4,0,1,1,0,1,37,1,0
1,196,65,0,8,3,64,0,0,0,0,0,68,0,0
1,137,81,1,8,3,72,1,1,3,1,1,107,0,0
1,56,25,0,11,5,19,0,0,0,1,1,42,2,0
1,23,155,1,7,6,27,0,0,0,0,1,106,13,0
1,126,72,1,8,3,19,0,0,0,1,1,101,41,0
0,271,159,1,10,3,84,1,1,7,1,1,0,0,1
1,72,168,1,2,3,10,0,0,0,0,1,0,0,0
0,162,81,1,1,3,64,1,0,0,1,1,101,0,0
0,46,126,1,3,3,36,1,1,1,0,1,52,82,1
0,54,62,1,2,4,13,1,1,4,0,0,23,0,1
1,113,91,1,12,3,78,1,1,1,1,1,37,0,1
0,120,49,1,0,0,0,0,0,0,0,1,110,1,0
1,253,33,1,8,3,84,1,1,6,1,1,151,227,1
0,24,150,1,8,3,25,0,1,1,0,1,37,1,0
0,132,32,1,10,3,25,1,1,2,1,1,55,114,0
0,57,114,1,5,3,57,1,1,3,0,1,23,145,1
1,61,163,1,13,3,7,1,1,6,0,1,38,0,1
1,62,16,1,7,3,3,0,0,0,0,1,116,0,0
1,174,138,0,8,6,89,1,0,0,1,1,50,0,1
0,270,32,1,10,3,3,0,0,0,1,1,92,0,0
0,82,19,0,0,0,3,0,0,0,0,1,37,45,0
0,20,17,1,7,3,42,0,1,1,1,1,23,5,0
1,178,65,0,8,3,100,0,0,0,1,1,97,0,0
0,71,11,1,10,3,19,0,0,0,0,0,52,0,0
1,194,34,1,6,3,28,0,0,0,0,0,6,0,0
1,142,43,1,8,6,19,1,1,1,0,1,85,49,1
1,166,65,1,5,3,103,1,0,0,1,1,156,0,0
0,48,53,1,10,3,48,1,1,5,0,1,76,193,1
1,185,69,1,2,4,0,0,0,0,0,1,62,0,0
1,64,27,1,7,6,50,0,0,0,1,1,39,0,1
0,201,174,1,10,6,123,1,1,8,0,1,0,220,1
1,167,93,1,12,6,96,1,1,3,0,1,104,93,1
0,71,26,1,2,3,2,0,0,0,0,1,46,0,0
1,113,193,1,2,4,0,0,0,0,1,1,61,0,0
1,263,54,1,6,3,42,1,1,2,1,1,0,15,1
1,148,35,0,7,3,1,0,0,0,0,1,57,72,0
1,219,122,1,10,6,117,1,1,7,1,1,101,5,0
1,12,3,0,7,3,1,0,0,0,0,1,44,131,0
1,291,61,1,0,0,7,0,0,0,0,1,68,3,0
1,74,6,1,6,3,2,0,0,0,0,0,0,0,0
0,196,39,0,2,6,13,0,0,0,1,1,52,0,0
1,265,163,0,1,3,36,1,0,0,0,0,0,0,0
1,330,69,1,8,3,42,1,1,5,1,1,17,38,1
1,100,12,1,6,3,6,1,1,3,0,1,91,233,1
0,249,33,1,5,3,17,0,0,0,0,1,85,83,0
1,293,203,1,0,0,0,1,1,1,0,1,28,0,0
0,186,47,0,0,0,0,1,0,0,0,1,106,0,0
1,34,86,0,2,3,25,0,0,0,1,1,116,149,0
0,89,63,0,7,3,0,0,0,0,0,1,37,0,0
1,79,45,1,7,6,34,1,0,0,0,1,136,76,1
1,343,138,1,0,0,75,0,1,1,0,1,19,6,0
1,280,10,1,7,4,125,1,1,19,0,1,0,232,1
0,181,65,0,7,3,57,0,0,0,1,1,0,2,0
1,262,72,1,10,6,95,1,1,11,0,1,23,0,1
1,75,20,0,5,3,3,1,0,0,0,1,62,1,0
1,195,65,1,12,4,13,0,0,0,0,1,111,0,0
1,319,202,1,1,4,125,1,1,17,1,1,0,0,1
0,264,120,1,10,3,101,1,1,3,1,1,0,0,1
0,266,0,1,7,3,57,1,0,0,0,1,0,0,1
1,190,51,1,8,4,6,1,0,0,1,1,53,0,0
0,268,95,1,3,6,25,0,0,0,1,0,85,0,0
1,153,68,0,6,3,3,0,0,0,1,0,23,0,0
1,123,25,1,10,6,4,0,0,0,1,1,76,87,0
1,36,125,1,6,3,1,0,1,1,0,1,31,1,0
0,246,32,1,2,4,51,1,0,0,1,1,0,93,1
0,81,45,1,8,3,23,0,0,0,1,1,52,0,0
1,164,27,1,13,3,32,1,1,8,1,1,102,202,1
0,19,163,1,13,6,25,1,1,11,0,1,0,199,1
0,180,60,0,12,3,72,0,0,0,1,1,68,62,0
0,306,122,1,5,6,64,0,0,0,0,1,0,0,0
0,99,36,1,10,3,31,1,1,2,0,1,68,0,0
1,241,45,1,2,4,0,0,0,0,0,0,101,0,0
1,84,19,0,12,6,3,0,0,0,0,1,85,1,0
1,316,179,1,3,6,107,1,0,0,1,1,5,181,1
0,132,73,0,13,6,58,1,1,1,0,1,19,0,1
1,169,86,1,6,3,57,1,0,0,1,1,116,0,1
1,53,29,0,7,6,6,0,0,0,0,1,97,77,0
1,189,139,1,7,3,80,1,1,12,1,1,0,79,1
1,262,212,1,10,6,5,1,1,1,0,1,165,46,0
0,221,114,1,3,3,25,1,0,0,1,1,0,0,1
1,216,55,1,8,3,1,1,0,0,1,1,130,218,1
1,144,55,0,13,6,1,0,0,0,0,1,39,1,0
1,215,67,1,12,3,4,0,0,0,1,1,0,115,0
1,160,204,1,7,3,100,1,1,16,0,1,0,212,1
1,205,66,1,0,0,0,0,0,0,0,1,0,149,0
1,47,63,1,7,3,46,1,1,11,1,1,68,199,1
1,276,112,1,8,3,92,0,0,0,0,1,146,65,0
1,63,130,0,2,4,4,0,0,0,1,1,64,0,0
1,47,150,0,7,3,57,1,0,0,0,0,10,0,1
1,197,65,1,8,3,0,1,0,0,1,1,84,76,1
1,85,29,1,6,3,2,0,1,4,0,1,89,178,0
1,215,118,1,6,6,77,1,1,12,1,1,27,0,1
0,49,144,1,2,3,1,0,0,0,0,1,68,149,0
1,212,77,1,10,6,112,1,0,0,1,1,32,126,1
1,70,151,1,13,3,1,1,1,9,0,1,17,107,1
0,116,186,1,10,6,84,1,1,2,0,1,0,212,1
0,274,15,1,12,6,10,1,1,11,1,1,140,6,1
0,303,0,0,0,0,0,0,0,0,0,1,0,0,0
1,230,65,0,2,6,114,0,0,0,1,0,68,0,0
1,230,48,1,7,3,36,1,1,10,0,1,65,211,1
0,123,55,1,8,3,6,0,0,0,1,1,62,35,0
1,34,143,1,8,3,36,1,0,0,0,1,37,188,1
1,234,91,1,7,4,98,1,1,16,0,1,36,159,1
1,209,25,0,1,3,15,0,0,0,0,1,85,3,0
1,108,9,1,2,4,0,1,0,0,1,1,0,0,1
1,233,50,0,6,3,4,0,0,0,0,0,130,0,0
1,251,14,1,7,6,5,1,1,6,0,1,76,146,1
1,55,126,1,5,3,34,1,1,1,0,1,23,226,1
0,42,39,1,7,3,0,0,0,0,0,1,0,0,0
0,122,72,1,6,3,63,0,1,1,1,1,97,10,0
1,58,26,0,12,3,17,0,0,0,0,1,52,0,0
1,129,104,1,13,3,83,1,1,2,0,1,135,7,1
1,116,60,1,2,4,13,0,0,0,1,1,161,205,0
0,26,140,1,10,3,29,1,1,4,0,1,17,117,1
0,78,113,1,10,3,69,1,1,10,0,1,37,84,1
1,82,52,1,7,3,14,0,0,0,1,1,43,1,0
1,130,101,1,8,3,116,1,0,0,1,1,19,0,1
1,102,59,0,5,3,75,1,0,0,0,1,66,0,0
0,133,49,1,10,3,55,1,0,0,1,1,140,0,0
1,74,76,0,7,3,4,0,0,0,0,1,52,151,0
0,89,33,0,0,0,13,1,1,3,0,1,62,64,0
1,91,17,1,6,3,25,0,0,0,1,1,37,1,0
1,168,51,0,9,6,1,1,0,0,1,1,126,0,1
1,283,84,1,2,4,25,0,0,0,0,1,31,2,0
0,131,81,1,8,3,22,1,0,0,0,0,97,0,1
1,99,17,1,8,3,4,0,1,1,0,1,94,109,0
1,28,156,1,0,0,10,0,0,0,0,1,23,0,0
1,59,37,0,3,3,57,1,1,1,0,1,62,20,0
1,90,39,1,7,3,6,0,0,0,0,1,34,0,0
1,9,88,1,2,6,10,0,0,0,1,1,37,0,0
1,114,54,1,1,3,19,0,0,0,1,1,23,0,0
1,284,81,1,5,3,72,1,0,0,0,0,81,0,1
1,81,69,1,0,0,80,0,0,0,0,1,52,24,0
0,244,55,0,10,6,3,1,1,20,1,1,144,161,1
1,199,211,1,13,6,39,1,1,1,1,1,153,114,1
1,83,174,1,7,3,48,0,0,0,0,0,23,0,0
1,29,101,1,10,3,9,1,1,2,0,1,0,30,0
1,150,16,1,1,6,2,0,0,0,1,0,87,0,0
0,40,25,1,7,3,21,1,1,5,1,1,44,5,0
1,108,28,1,12,3,28,0,0,0,0,1,31,0,0
1,135,45,0,7,3,36,1,0,0,1,1,0,80,0
1,134,141,1,10,6,93,1,1,6,0,1,124,70,1
1,106,32,1,10,3,42,1,0,0,1,1,97,0,1
1,81,76,0,3,3,10,0,1,1,1,1,97,44,0
1,110,184,1,9,1,0,0,0,0,1,1,44,155,0
1,310,121,1,7,6,60,1,1,11,1,1,0,91,1
1,162,12,1,1,3,23,1,0,0,1,0,167,0,0
0,97,179,1,1,3,25,0,0,0,1,1,62,152,0
1,180,76,0,13,3,68,1,1,3,1,1,123,0,1
1,234,48,1,7,3,36,0,0,0,0,1,0,95,0
0,18,0,0,4,0,0,0,0,0,0,1,24,0,0
1,84,21,1,7,3,4,0,0,0,0,1,31,0,1
1,113,68,0,12,3,89,1,1,1,0,1,73,0,1
0,69,13,1,2,3,8,0,0,0,1,0,46,0,0
1,237,17,0,5,3,13,1,1,3,0,1,68,149,1
0,107,137,1,5,3,34,1,0,0,0,1,52,65,1
1,41,0,1,1,3,13,0,0,0,0,1,46,0,0
1,162,86,0,2,3,2,0,0,0,1,1,133,0,0
1,114,94,0,7,4,57,0,0,0,0,1,68,159,0
0,93,39,1,0,0,0,1,0,0,0,1,23,0,0
0,171,45,1,7,3,6,0,0,0,1,1,121,57,0
1,18,93,1,7,3,6,0,0,0,0,0,23,0,0
0,219,108,1,10,3,3,1,0,0,1,1,80,0,1
1,71,66,0,7,6,59,1,0,0,0,1,0,0,1
0,20,154,1,0,0,0,0,0,0,0,1,0,35,0
1,88,178,1,10,6,38,1,0,0,1,1,37,0,1
0,103,16,1,7,6,23,1,0,0,1,1,150,0,1
1,108,179,0,3,6,30,0,0,0,1,1,0,17,0
0,72,116,1,5,3,4,0,0,0,0,1,76,149,0
1,75,25,1,6,3,13,1,0,0,1,0,106,0,0
1,102,10,0,7,3,36,0,0,0,1,1,52,0,0
1,288,7,0,3,3,6,1,1,11,0,1,123,196,1
1,53,0,1,7,3,13,0,0,0,1,0,0,0,0
1,200,199,0,7,3,75,1,0,0,0,1,23,0,0
0,74,169,1,12,3,1,1,0,0,0,1,23,168,1
0,284,41,1,2,5,8,0,0,0,0,1,0,56,0
1,259,10,0,12,6,42,1,1,8,0,1,31,104,1
1,162,159,1,13,3,98,1,0,0,0,1,0,0,1
1,48,13,1,7,3,3,0,0,0,0,1,0,34,0
0,31,144,1,5,3,2,1,0,0,0,1,31,0,1
0,121,192,1,13,6,66,1,1,1,0,1,37,11,1
1,244,1,1,9,3,1,0,1,1,0,0,158,0,1
