REGION-CENTROID-COL,REGION-CENTROID-ROW,REGION-PIXEL-COUNT,SHORT-LINE-DENSITY-5,SHORT-LINE-DENSITY-2,VEDGE-MEAN,VEDGE-SD,HEDGE-MEAN,HEDGE-SD,INTENSITY-MEAN,RAWRED-MEAN,RAWBLUE-MEAN,RAWGREEN-MEAN,EXRED-MEAN,EXBLUE-MEAN,EXGREEN-MEAN,VALUE-MEAN,SATURATION-MEAN,HUE-MEAN,class
76,73,0,0,0,4,6,29,30,37,26,28,17,145,38,87,25,156,158,0
102,79,0,0,0,5,27,19,4,43,33,29,20,154,32,83,30,152,166,0
59,84,0,0,0,3,15,38,60,36,28,26,17,149,32,89,23,149,164,0
19,82,0,0,0,22,21,59,55,33,30,20,15,155,26,90,25,165,169,0
22,63,0,0,0,40,42,44,49,35,24,28,16,143,39,88,26,162,157,0
10,76,0,0,0,21,8,29,30,30,23,22,14,147,32,92,20,161,163,0
16,33,0,1,0,60,102,116,175,85,66,73,38,133,75,37,69,127,148,0
9,62,0,0,0,102,185,121,107,76,64,65,34,143,54,57,59,101,154,0
8,60,0,0,0,82,93,74,101,75,65,64,32,147,52,51,58,105,155,0
46,55,0,0,0,81,132,67,119,90,69,76,41,140,72,38,72,113,152,0
11,88,0,0,0,11,1,26,40,25,19,10,11,153,24,102,12,171,170,0
15,24,0,0,0,122,175,92,88,98,72,86,47,113,88,31,86,126,140,0
106,77,0,0,0,48,51,28,16,39,31,27,19,151,30,89,28,153,165,0
45,66,0,0,0,91,145,86,93,93,69,78,43,132,74,39,75,115,147,0
1,19,0,0,0,121,167,114,127,79,61,70,36,120,79,44,66,136,141,0
64,81,0,0,0,31,49,53,51,38,30,26,19,150,29,91,27,148,167,0
81,72,0,0,0,20,20,9,6,35,27,27,15,148,34,85,24,164,162,0
15,45,0,0,0,88,117,93,103,77,64,66,33,142,60,49,60,111,153,0
75,66,0,0,0,30,18,15,17,42,28,32,18,144,41,82,29,160,156,0
125,72,0,0,0,53,7,44,33,34,25,25,16,146,33,92,23,157,161,0
14,66,0,0,0,9,13,8,8,31,22,24,14,145,36,90,22,166,159,0
65,28,0,0,0,124,166,124,170,106,77,92,59,107,99,24,92,122,139,0
18,91,0,0,0,25,26,31,9,29,15,34,17,121,51,99,31,168,122,0
45,52,0,0,0,72,115,46,61,92,70,75,42,140,71,42,71,107,151,0
56,44,0,0,0,92,131,88,160,101,75,84,49,135,76,32,83,110,149,0
80,56,0,0,0,50,74,120,125,97,73,83,46,124,81,34,82,118,145,0
11,83,0,0,0,51,70,38,29,32,26,21,15,152,28,93,22,155,168,0
75,79,0,0,0,36,52,63,18,41,30,30,18,147,37,83,28,159,160,0
65,64,0,0,0,100,142,127,128,87,67,72,39,136,70,47,68,109,150,0
55,26,0,0,0,105,174,102,138,104,77,91,56,116,96,22,91,123,143,0
76,7,0,0,0,59,138,58,7,188,152,167,148,18,137,64,167,9,21,5
78,13,0,0,0,18,78,21,37,174,139,153,136,6,159,61,153,29,11,5
36,17,0,0,0,32,36,11,31,173,135,154,133,2,164,54,154,39,12,5
90,53,0,0,0,55,59,37,53,167,131,147,126,4,166,0,147,90,48,5
124,4,0,0,0,63,60,39,83,182,146,160,141,14,150,55,160,15,23,5
68,10,0,0,0,62,83,55,97,189,154,169,145,22,138,41,169,6,34,5
85,12,0,0,0,42,19,119,109,192,156,170,150,42,109,75,170,4,33,5
13,48,0,0,0,38,5,37,65,180,144,152,135,31,146,9,152,13,80,5
6,15,0,1,0,86,122,95,75,179,143,159,134,15,162,6,159,22,51,5
66,0,0,0,0,60,35,126,182,195,159,174,153,41,84,113,174,1,1,5
26,40,0,0,0,13,39,37,45,170,133,151,129,5,163,46,151,35,15,5
5,3,0,0,0,78,85,49,41,194,158,173,151,55,103,72,173,3,47,5
102,18,0,0,0,46,65,90,121,172,136,150,132,7,156,66,150,25,10,5
84,3,0,0,0,43,56,23,24,177,140,158,138,1,161,76,158,34,4,5
64,37,0,0,0,8,12,21,5,168,132,148,127,9,165,1,148,49,46,5
79,6,0,0,0,76,104,42,115,187,151,164,146,20,134,65,164,8,22,5
97,8,0,0,0,39,57,19,22,193,157,171,152,51,99,80,171,2,36,5
60,5,0,0,0,33,63,63,47,186,149,165,144,14,147,64,165,14,16,5
123,43,0,0,0,54,64,54,58,166,130,146,125,0,167,0,146,100,39,5
53,10,0,0,0,74,127,77,130,190,153,168,147,21,136,50,168,7,30,5
33,23,0,0,0,41,73,34,81,176,142,156,131,16,158,15,156,21,44,5
96,55,0,0,0,17,43,24,32,191,155,172,149,26,126,68,172,5,27,5
61,11,0,0,0,27,28,65,79,178,141,157,139,10,155,59,157,23,14,5
58,31,0,0,0,36,82,71,98,171,138,150,130,11,157,45,150,24,20,5
93,22,0,0,0,62,89,49,102,169,134,149,128,8,161,35,149,28,25,5
45,16,0,0,0,29,71,33,85,175,137,155,137,3,160,68,155,33,7,5
37,35,0,0,0,97,103,83,28,183,148,162,143,17,143,56,162,12,24,5
52,25,0,0,0,12,3,39,67,184,150,161,143,19,141,55,161,10,28,5
37,12,0,0,0,56,119,94,123,185,147,166,142,13,151,48,166,16,26,5
69,21,0,1,0,28,76,108,86,181,145,163,140,12,153,53,163,19,18,5
57,70,0,1,0,36,99,84,95,24,9,17,14,103,46,121,15,185,2,2
13,71,0,0,0,16,46,14,46,2,0,1,3,130,27,122,1,158,5,2
27,47,0,0,0,44,38,36,54,16,1,20,2,106,62,97,18,199,69,2
11,46,0,0,0,93,157,97,141,20,10,15,10,114,47,112,13,187,45,2
28,56,0,0,0,40,61,39,66,19,6,19,9,105,52,109,17,191,37,2
29,49,0,0,0,87,143,39,23,23,5,31,7,96,64,96,27,196,53,2
45,46,0,0,1,158,201,163,201,165,128,141,124,24,121,81,141,75,9,2
76,72,0,0,0,60,53,60,110,17,2,18,7,103,55,108,16,197,35,2
39,84,0,0,0,130,152,103,134,78,56,67,40,107,63,93,64,103,144,2
7,41,0,0,0,131,195,158,197,99,61,88,61,45,93,101,88,146,8,2
4,42,0,0,1,146,192,149,191,55,29,62,28,62,78,104,52,173,13,2
42,77,0,0,0,1,4,1,2,1,0,3,0,131,31,118,3,201,81,2
23,38,0,0,1,156,199,161,193,147,111,126,114,32,111,81,126,66,19,2
20,88,0,0,0,2,23,68,152,6,3,2,5,131,26,123,2,32,0,2
54,87,0,0,0,15,16,18,13,7,0,8,0,122,44,110,8,201,81,2
11,48,0,0,0,64,42,28,20,18,5,23,6,104,61,100,19,194,56,2
38,57,0,0,0,37,72,59,104,15,1,15,4,108,54,105,13,200,54,2
27,60,0,0,1,159,193,162,188,139,99,119,104,28,116,78,119,98,17,2
32,53,0,0,0,45,97,52,38,13,1,14,3,111,54,104,12,199,62,2
37,81,0,0,0,152,176,121,176,69,34,71,31,42,108,77,67,177,29,2
123,62,0,0,0,5,10,18,19,11,1,11,3,118,48,109,10,198,60,2
127,72,0,0,0,140,196,95,185,22,11,16,9,118,49,107,14,190,70,2
58,73,0,0,0,57,95,40,74,12,4,9,6,121,43,115,9,193,41,2
0,42,0,0,0,155,200,154,200,91,51,85,55,34,105,99,84,170,6,2
126,72,0,0,0,2,14,7,10,3,0,5,0,128,35,116,5,201,81,2
31,61,0,0,0,52,26,123,135,27,11,33,13,93,62,108,30,188,31,2
32,69,0,0,0,119,158,79,147,81,38,90,35,25,134,36,90,180,43,2
76,73,0,0,0,34,24,121,178,25,12,29,12,101,59,105,25,186,42,2
70,86,0,0,0,91,17,43,68,26,7,36,11,86,71,97,33,192,38,2
15,77,0,0,0,21,9,10,11,1,0,3,0,131,31,118,3,183,81,2
105,68,0,0,0,66,133,50,84,115,88,101,80,79,97,52,101,47,115,1
119,41,0,0,0,75,37,28,99,114,89,101,79,84,100,43,101,54,128,1
73,20,0,0,0,71,144,101,126,143,112,123,107,61,113,34,123,37,100,1
36,98,0,0,0,133,180,122,49,95,62,87,53,66,102,65,87,124,64,1
104,59,0,0,0,111,165,105,136,127,98,111,91,67,112,27,111,64,117,1
21,39,0,0,0,61,22,118,169,124,97,108,88,96,94,39,108,36,136,1
108,75,0,0,0,125,182,152,196,120,93,101,81,95,85,52,101,30,135,1
105,55,0,0,0,68,91,61,118,126,94,112,89,47,125,28,112,87,82,1
135,69,0,0,0,150,181,85,145,132,106,111,97,88,99,38,111,27,134,1
126,67,0,0,0,137,106,78,91,113,83,105,78,52,114,40,105,92,75,1
83,47,0,0,0,154,184,30,43,110,80,96,70,70,106,47,96,97,99,1
94,54,0,0,0,113,90,82,70,148,114,128,108,60,120,23,128,44,113,1
63,74,0,0,0,36,44,96,155,88,57,80,44,68,95,71,78,128,59,1
24,26,0,0,0,86,111,51,39,164,129,143,123,46,132,9,143,42,105,1
118,90,0,0,0,116,168,56,59,108,71,97,67,30,127,49,97,140,40,1
9,89,0,1,0,53,58,60,80,53,32,56,26,98,68,91,44,142,73,1
14,46,0,0,0,112,130,63,69,162,125,145,121,27,152,4,145,81,76,1
71,12,0,0,0,67,116,41,90,154,123,133,116,56,118,26,133,31,101,1
88,97,0,0,0,119,110,110,124,103,78,82,65,125,52,89,81,20,138,1
82,96,0,0,0,120,146,75,48,51,24,45,24,119,58,94,41,144,130,1
89,34,0,0,0,107,161,87,103,150,116,131,109,63,119,19,131,41,124,1
101,41,0,0,0,80,84,72,76,119,91,99,82,95,83,58,99,26,131,1
76,36,0,0,0,99,96,34,105,129,109,107,96,129,65,62,107,11,146,1
131,67,0,0,0,46,48,69,82,128,95,113,91,44,129,25,113,91,79,1
61,48,0,0,0,153,190,66,94,163,127,144,122,33,140,14,144,50,74,1
107,70,0,0,0,157,198,48,96,121,90,103,83,80,98,50,103,53,119,1
77,2,0,1,2,144,183,145,161,125,96,110,90,71,107,43,110,43,107,1
44,9,0,0,0,149,177,39,72,160,121,142,119,23,154,7,142,88,63,1
92,56,0,0,0,60,41,45,27,151,121,132,112,63,119,19,132,38,123,1
115,32,0,0,0,83,128,160,190,149,117,125,115,74,90,70,125,18,127,1
103,87,0,0,0,0,0,0,0,0,0,0,0,141,23,124,0,0,171,6
103,85,0,0,0,0,0,0,0,0,0,0,0,141,23,124,0,0,171,6
116,93,0,0,0,0,0,0,0,0,0,0,0,141,23,124,0,0,171,6
30,47,0,0,0,101,134,150,180,73,47,69,34,75,86,74,65,138,67,6
135,51,0,0,0,35,34,3,1,8,2,7,1,124,42,111,7,198,87,6
125,58,0,0,0,19,67,123,151,84,58,74,44,82,77,81,70,102,61,6
123,78,0,0,0,0,0,0,0,0,0,0,0,141,23,124,0,0,171,6
106,52,0,0,0,100,121,73,122,47,22,39,22,126,50,95,35,145,142,6
25,92,0,0,0,114,150,64,89,10,8,6,4,131,36,114,6,176,132,6
29,79,0,0,0,94,114,20,36,28,13,35,16,114,56,98,32,174,97,6
86,45,0,0,0,72,129,6,15,80,53,77,39,70,91,73,73,137,58,6
56,51,0,0,0,41,31,16,50,86,56,81,41,72,101,60,79,134,84,6
84,94,0,0,0,21,75,155,199,45,18,40,23,110,57,101,36,143,71,6
115,14,0,0,0,102,151,15,56,63,40,63,30,78,80,81,57,139,57,6
120,30,0,0,0,3,25,28,64,40,15,42,18,103,67,84,39,179,103,6
67,92,0,0,0,0,0,0,0,0,0,0,0,141,23,124,0,0,171,6
12,80,0,0,0,36,11,27,21,21,9,20,8,112,53,103,18,184,66,6
121,30,0,0,0,6,32,13,57,41,15,42,19,102,66,86,39,178,96,6
99,88,0,0,0,40,77,4,26,2,3,1,1,137,27,119,1,147,133,6
122,27,0,0,0,7,50,15,35,50,19,52,22,94,73,79,43,172,89,6
31,64,0,0,0,140,126,32,42,89,59,79,45,76,87,72,77,117,68,6
87,17,0,0,0,49,94,5,14,4,5,1,2,139,25,120,1,151,137,6
87,62,0,0,0,47,81,12,25,109,79,94,73,69,89,77,94,76,52,6
100,1,0,0,0,14,29,112,148,38,14,41,17,101,68,85,38,181,92,6
78,63,0,0,0,67,54,22,34,107,76,93,69,73,83,80,93,84,49,6
138,82,0,0,0,51,66,26,78,5,3,4,1,134,31,117,4,182,112,6
113,29,0,0,0,24,47,17,52,44,16,45,21,100,69,84,41,175,96,6
133,50,0,0,0,139,194,57,92,62,37,68,27,67,99,67,63,167,65,6
114,65,0,0,0,64,37,2,3,9,4,6,2,127,40,113,6,195,91,6
51,80,0,0,0,10,2,48,12,14,8,12,4,123,45,106,11,189,110,6
47,122,0,1,1,96,137,70,113,161,126,140,120,36,139,8,140,55,90,4
2,115,0,0,0,117,179,157,198,105,74,89,64,90,80,74,89,46,78,4
72,114,0,0,0,108,141,104,142,153,117,135,110,39,142,4,135,77,104,4
138,124,0,0,0,151,186,148,183,117,86,102,82,67,102,62,102,48,55,4
119,105,0,0,1,118,155,146,168,157,120,138,113,37,149,2,138,83,106,4
112,116,0,0,0,76,112,88,114,137,106,118,99,64,115,23,118,60,121,4
110,118,0,0,0,68,88,135,164,122,92,106,85,77,104,43,106,51,120,4
121,99,0,0,0,85,173,153,192,123,87,109,87,47,110,63,109,78,32,4
48,121,0,1,0,79,101,109,133,159,124,138,118,40,135,9,138,58,95,4
59,118,0,0,0,136,156,125,157,156,119,137,114,36,144,5,137,79,98,4
43,112,0,0,0,132,191,151,194,111,81,95,74,85,82,69,95,45,83,4
49,107,0,0,0,89,108,140,171,141,107,122,101,57,124,18,122,72,111,4
117,99,0,0,0,143,86,156,189,118,85,104,84,59,105,64,104,67,50,4
108,110,0,0,0,63,124,135,132,146,113,127,105,58,128,12,127,68,125,4
103,114,0,0,0,73,113,129,162,134,103,117,93,69,117,15,117,74,129,4
68,117,0,0,0,141,171,133,167,155,118,136,112,38,145,3,136,82,102,4
98,113,0,1,0,142,159,91,120,133,101,117,94,65,119,17,117,73,126,4
83,100,0,0,0,116,164,159,195,116,84,100,86,53,92,89,100,40,3,4
61,122,0,0,0,148,172,144,173,140,105,121,102,50,123,25,121,65,88,4
74,109,0,0,0,106,178,137,187,112,82,98,76,81,91,57,98,57,116,4
2,124,0,0,2,129,149,147,174,145,110,129,106,40,131,16,129,80,85,4
130,121,0,0,0,97,135,109,117,130,99,114,92,52,116,33,114,62,86,4
91,115,0,0,0,145,162,139,129,152,115,134,111,35,134,15,134,63,77,4
137,105,0,0,1,96,118,136,137,144,110,130,103,41,133,10,130,86,94,4
136,119,0,0,0,100,123,111,150,138,104,120,100,55,124,20,120,71,108,4
95,112,0,0,0,127,153,131,159,136,102,118,97,60,122,21,118,70,114,4
125,120,0,0,0,147,163,141,158,131,100,115,95,56,115,30,115,59,93,4
3,125,0,0,1,121,148,142,165,142,108,124,102,49,130,13,124,85,109,4
63,107,0,0,0,115,139,131,112,135,103,116,98,68,111,29,116,52,118,4
47,118,0,0,0,138,147,109,144,158,122,139,117,29,148,11,139,69,72,4
111,95,0,0,0,23,30,98,63,100,61,72,73,43,41,138,76,106,201,3
40,107,0,1,0,71,69,128,146,94,63,65,71,75,16,142,74,89,194,3
33,108,0,1,0,97,125,121,154,83,60,60,66,99,10,133,64,56,182,3
58,128,0,0,0,51,80,106,116,64,41,51,54,78,16,136,53,125,193,3
50,131,0,0,0,84,140,81,131,60,39,46,54,83,11,144,53,131,187,3
6,123,0,0,0,98,92,76,78,65,49,43,57,115,0,142,54,116,174,3
109,138,0,0,0,123,136,81,108,52,21,27,37,97,8,136,42,163,183,3
89,101,0,0,0,103,120,117,111,72,44,57,62,66,17,146,61,132,195,3
100,103,0,0,0,88,98,104,149,74,50,55,63,80,12,145,62,108,188,3
1,137,0,0,0,109,160,132,177,40,20,17,25,138,19,125,21,17,172,3
34,132,0,0,0,126,187,89,163,43,17,12,27,113,6,129,34,169,177,3
134,110,0,0,0,90,107,107,143,67,46,46,60,96,2,148,57,119,178,3
109,127,0,0,0,95,109,143,166,96,60,67,75,48,18,149,80,120,198,3
30,106,0,0,0,58,68,80,139,82,55,61,68,77,14,143,65,99,192,3
35,130,0,0,0,135,197,138,184,49,21,20,30,116,10,128,40,141,179,3
62,133,0,0,0,134,169,130,172,87,54,59,72,62,4,150,75,129,186,3
129,126,0,1,0,128,188,89,140,68,45,54,52,90,21,127,51,93,197,3
128,104,0,0,0,70,79,123,156,67,45,50,58,92,9,141,55,104,184,3
17,120,0,0,0,14,45,25,73,70,52,49,59,117,3,134,56,94,175,3
35,124,0,0,0,88,105,47,62,48,20,14,30,118,5,129,40,154,176,3
53,134,0,1,0,104,170,99,100,56,35,39,45,91,10,140,46,133,185,3
41,117,0,1,0,77,62,131,179,66,43,53,51,88,20,128,50,96,196,3
28,102,0,0,0,26,55,48,44,102,68,71,77,54,22,147,85,95,199,3
129,111,0,0,0,22,8,35,87,54,36,38,41,107,7,131,45,114,181,3
132,117,0,0,0,60,33,84,106,46,18,13,29,109,8,130,37,150,180,3
20,136,0,1,0,110,154,100,77,58,37,44,49,82,13,139,49,135,189,3
100,129,0,0,0,69,87,62,71,59,39,47,48,89,15,132,48,112,190,3
107,134,0,0,0,125,189,134,186,71,48,58,50,91,26,126,50,61,200,3
115,135,0,1,0,65,100,115,181,61,41,48,51,87,14,135,50,121,191,3
121,112,0,0,0,21,40,113,153,57,42,37,47,120,1,137,47,130,173,3
